Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1987,2:10:47,Augustus MAIYO,Men,Marathon,10 MAY 1983,USA,5,"Atlanta, GA (USA)",29 FEB 2020
1987,2:10:47,Yusuke TOBIMATSU,Men,Marathon,28 AUG 1991,JPN,4,Hofu (JPN),19 DEC 2021
1987,2:10:47,Takanori OGATA,Men,Marathon,25 JUL 2000,JPN,8,Oita (JPN),04 FEB 2024
1987,2:10:47,Matthew RICHTMAN,Men,Marathon,,USA,4,"St. Paul, Minneapolis, MN (USA)",06 OCT 2024
1987,2:10:47,Ciren ZHAXI,Men,Marathon,13 FEB 1999,CHN,40,Osaka (JPN),24 FEB 2025
2006,2:10:48,Bill ADCOCKS,Men,Marathon,11 NOV 1941,GBR,1,Fukuoka (JPN),08 DEC 1968
2006,2:10:48,Juan Francisco ROMERA,Men,Marathon,31 OCT 1960,ESP,3,London (GBR),22 APR 1990
2006,2:10:48,Rex WILSON,Men,Marathon,10 APR 1960,NZL,3,"Chicago, IL (USA)",28 OCT 1990
2006,2:10:48,Abebe SEYOUM,Men,Marathon,,ETH,1,Marrakech (MAR),27 JAN 2008
2006,2:10:48,Shoya OSAKI,Men,Marathon,01 AUG 1991,JPN,10,Oita (JPN),03 FEB 2019
2006,2:10:48,Silas MUTURI,Men,Marathon,1984,KEN,13,Seoul (KOR),17 MAR 2024
2012,2:10:49,Jacques BOXBERGER,Men,Marathon,16 APR 1949,FRA,1,Paris (FRA),11 MAY 1985
2012,2:10:49,Yuji NAKAMURA,Men,Marathon,29 APR 1970,JPN,1,Otsu (JPN),19 MAR 1995
2012,2:10:49,José Ramon REY,Men,Marathon,03 NOV 1967,ESP,1,Sevilla (ESP),25 FEB 2001
2012,2:10:49,Khalid BOUMELILI,Men,Marathon,10 APR 1978,MAR,1,Marrakech (MAR),18 JAN 2004
2012,2:10:49,Degene GUTA,Men,Marathon,05 AUG 1981,ETH,1,Dubai (UAE),06 JAN 2005
2012,2:10:49,Adam DRACZYŃSKI,Men,Marathon,03 JAN 1976,POL,5,Wien (AUT),18 APR 2010
2012,2:10:49,Sammy CHUMBA,Men,Marathon,09 AUG 1978,KEN,6,Marrakech (MAR),29 JAN 2012
2012,2:10:49,Moses Ndiema KIPSIRO,Men,Marathon,02 SEP 1986,UGA,4,Ottawa (CAN),28 MAY 2017
2012,2:10:49,Tsubasa HAYAKAWA,Men,Marathon,02 JUL 1990,JPN,50,Otsu (JPN),28 FEB 2021
2012,2:10:49,Luka MUSEMBI,Men,Marathon,12 DEC 2000,KEN,1,Sapporo (JPN),28 AUG 2022
2012,2:10:49,Yongzheng HUANG,Men,Marathon,17 NOV 2000,CHN,9,Wuxi (CHN),19 MAR 2023
2012,2:10:49,Ryuichi YOSHIOKA,Men,Marathon,17 SEP 1998,JPN,30,Tokyo (JPN),02 MAR 2025
2024,2:10:50,Eamonn MARTIN,Men,Marathon,09 OCT 1958,GBR,1,London (GBR),18 APR 1993
2024,2:10:50,Jung-Won KIM,Men,Marathon,20 SEP 1973,PRK,1,Pyongyang (PRK),10 MAR 1996
2024,2:10:50,Jan BIALK,Men,Marathon,04 SEP 1969,POL,2,Hamburg (GER),27 APR 1997
