Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
2591,2:11:43,Khaled KAMEL KHALED,Men,Marathon,10 OCT 1982,BRN,4,Düsseldorf (GER),04 MAY 2008
2591,2:11:43,Richard Kiprotich SOIBEI,Men,Marathon,28 DEC 1985,UGA,3,Zhengzhou (CHN),27 MAR 2011
2591,2:11:43,Sibusiso NZIMA,Men,Marathon,23 NOV 1986,RSA,4,Sevilla (ESP),21 FEB 2016
2591,2:11:43,Yuhi AKIYAMA,Men,Marathon,02 MAY 1994,JPN,56,Otsu (JPN),28 FEB 2021
2591,2:11:43,Daniele D'ONOFRIO,Men,Marathon,08 OCT 1993,ITA,34,Sevilla (ESP),20 FEB 2022
2591,2:11:43,Yuki OSHIKAWA,Men,Marathon,02 JUN 1990,JPN,24,Osaka (JPN),27 FEB 2022
2591,2:11:43,Keisuke YOKOTA,Men,Marathon,18 JUL 1996,JPN,41,Osaka (JPN),26 FEB 2023
2591,2:11:43,Katsutoshi MONOE,Men,Marathon,30 JUL 1996,JPN,1,Fukui (JPN),31 MAR 2024
2591,2:11:43,Vincent RONOH,Men,Marathon,,KEN,13,Frankfurt (GER),27 OCT 2024
2591,2:11:43,Dorian BOULVIN,Men,Marathon,05 JUN 1997,BEL,9,Brussels-Leuven (BEL),13 APR 2025
2611,2:11:44,Gabashane RAKABAELE,Men,Marathon,03 SEP 1948,LES,1,Port Elizabeth (RSA),01 MAY 1982
2611,2:11:44,Jim DINGWALL,Men,Marathon,30 MAY 1949,GBR,5,London (GBR),17 APR 1983
2611,2:11:44,Ibrahim HUSSEIN,Men,Marathon,03 JUN 1958,KEN,1,"Honolulu, HI (USA)",07 DEC 1986
2611,2:11:44,Joseph CHEROMEI,Men,Marathon,21 APR 1966,KEN,5,Praha (CZE),25 MAY 1997
2611,2:11:44,Samson NGOLEBUS,Men,Marathon,1970,KEN,3,Hamburg (GER),19 APR 1998
2611,2:11:44,Bethuel NETSHIFHEFHE,Men,Marathon,16 MAR 1972,RSA,3,Cape Town (RSA),04 MAR 2000
2611,2:11:44,Andrey GORDEYEV,Men,Marathon,07 AUG 1973,BLR,1,Hannover (GER),06 MAY 2001
2611,2:11:44,Francisco BAUTISTA,Men,Marathon,17 SEP 1972,MEX,4,Torreón (MEX),07 MAR 2004
2611,2:11:44,Urige Dadi BEDANE,Men,Marathon,,ETH,3,Brescia (ITA),15 MAR 2009
2611,2:11:44,Kenichiro SETOGUCHI,Men,Marathon,12 DEC 1980,JPN,6,Otsu (JPN),07 MAR 2010
2611,2:11:44,Mitku Soboka TULU,Men,Marathon,1988,ETH,3,Sevilla (ESP),13 FEB 2011
2611,2:11:44,Belete MEKONEN GEZU,Men,Marathon,1985,ETH,9,Marrakech (MAR),29 JAN 2012
2611,2:11:44,Eliud MAGUT,Men,Marathon,18 DEC 1986,KEN,1,Metz (FRA),09 OCT 2016
2611,2:11:44,Wilkerson GIVEN,Men,Marathon,14 APR 1991,USA,18,"Chicago, IL (USA)",13 OCT 2019
2611,2:11:44,Adrian LEHMANN,Men,Marathon,06 DEC 1989,SUI,3,Zürich (SUI),23 APR 2023
2611,2:11:44,Enock KIPKEMBOI,Men,Marathon,24 DEC 2000,KEN,1,Huai'an (CHN),21 APR 2024
2611,2:11:44,Youssef BEN HADI,Men,Marathon,1994,MAR,10,Eindhoven (NED),13 OCT 2024
2628,2:11:45,Giuseppe CINDOLO,Men,Marathon,05 AUG 1945,ITA,4,Fukuoka (JPN),07 DEC 1975
2628,2:11:45,Mark CURP,Men,Marathon,05 JAN 1959,USA,3,St. Paul (USA),11 OCT 1987
2628,2:11:45,Tekeye GEBRSELASSIE,Men,Marathon,16 OCT 1970,NED,3,Eindhoven (NED),09 OCT 1994
2628,2:11:45,Benson LOKORWA,Men,Marathon,05 MAY 1971,KEN,2,Köln (GER),11 OCT 1998
2628,2:11:45,Masami SOETA,Men,Marathon,29 MAR 1977,JPN,12,Beijing (CHN),14 OCT 2001
2628,2:11:45,Joshua KIPKEMBOI,Men,Marathon,22 FEB 1959,KEN,2,St. Paul (USA),29 SEP 2002
2628,2:11:45,Dawit TEFERA,Men,Marathon,1977,ETH,3,Xiamen (CHN),27 MAR 2004
2628,2:11:45,Samuel CHEMWENO KEMBOI,Men,Marathon,1978,KEN,3,Roma (ITA),28 MAR 2004
2628,2:11:45,Benjamin ROTICH,Men,Marathon,1973,KEN,3,Frankfurt (GER),31 OCT 2004
2628,2:11:45,Eliud KURGAT,Men,Marathon,20 MAR 1976,KEN,3,Torino (ITA),24 SEP 2006
