Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
4288,2:13:50,Josh COX,Men,Marathon,09 AUG 1975,USA,14,"Houston, TX (USA)",14 JAN 2012
4288,2:13:50,Festus LANGAT,Men,Marathon,09 APR 1985,KEN,7,Roma (ITA),18 MAR 2012
4288,2:13:50,Leshane YEGEZU,Men,Marathon,06 OCT 1985,ETH,6,Algiers (ALG),01 NOV 2014
4288,2:13:50,Emil DOBROWOLSKI,Men,Marathon,02 NOV 1986,POL,1,Poznan (POL),11 OCT 2015
4288,2:13:50,Teboho SELLO,Men,Marathon,17 FEB 1979,LES,7,Bloemfontein (RSA),16 APR 2016
4288,2:13:50,Tsepo MATHIBELLE,Men,Marathon,30 JUN 1991,LES,6,Beijing (CHN),17 SEP 2017
4288,2:13:50,Yoshiki KOIZUMI,Men,Marathon,05 OCT 1993,JPN,25,Tokyo (JPN),25 FEB 2018
4288,2:13:50,Edwin KIPLETING,Men,Marathon,,KEN,2,Firenze (ITA),26 NOV 2023
4309,2:13:51,Mikhail SHEVTSOV,Men,Marathon,1951,URS,13,Moskva (URS),24 MAY 1980
4309,2:13:51,Petrus KEKANA,Men,Marathon,11 OCT 1956,RSA,4,Port Elizabeth (RSA),03 MAY 1986
4309,2:13:51,Oleksandr BAZA,Men,Marathon,01 AUG 1953,URS,3,Uzhgorod (URS),07 OCT 1986
4309,2:13:51,Andrzej WITCZAK,Men,Marathon,04 AUG 1958,POL,2,Puteaux (FRA),14 MAR 1993
4309,2:13:51,Mikhail ROMANOV,Men,Marathon,14 DEC 1973,RUS,7,Moskva (RUS),16 MAY 1999
4309,2:13:51,Akinori SHIBUTANI,Men,Marathon,05 DEC 1977,JPN,3,Beppu (JPN),06 FEB 2000
4309,2:13:51,Kabtamu RETA,Men,Marathon,1986,ETH,8,Roma (ITA),18 MAR 2012
4309,2:13:51,Hussein RUTTO,Men,Marathon,1986,KEN,6,Zürich (SUI),22 APR 2012
4309,2:13:51,Christopher SOGET,Men,Marathon,15 AUG 1980,KEN,12,Nairobi (KEN),28 OCT 2012
