Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
3900,2:13:22,Tibor BAIER,Men,Marathon,07 OCT 1966,HUN,6,Oita (JPN),04 FEB 1990
3900,2:13:22,Yevgeniy OKOROKOV,Men,Marathon,06 APR 1959,URS,1,Reims (FRA),20 OCT 1991
3900,2:13:22,John MAUNDU,Men,Marathon,19 JUN 1955,KEN,4,Roma (ITA),24 MAR 1996
3900,2:13:22,Bernard Reuban BOIYO,Men,Marathon,1967,KEN,3,Köln (GER),11 OCT 1998
3900,2:13:22,Chala KELILE,Men,Marathon,07 OCT 1966,ETH,7,Pyongyang (PRK),09 APR 2000
3900,2:13:22,Eui-soo LEE,Men,Marathon,24 APR 1972,KOR,8,Beppu (JPN),04 FEB 2001
3900,2:13:22,Dennis MUSAU,Men,Marathon,10 JUN 1983,KEN,2,Warszawa (POL),25 SEP 2011
3900,2:13:22,Yoshihiro YAMAMOTO,Men,Marathon,20 APR 1983,JPN,16,Otsu (JPN),03 MAR 2013
3900,2:13:22,Teshome CHERU,Men,Marathon,,ETH,12,Roma (ITA),17 MAR 2013
3900,2:13:22,Hailu GETU,Men,Marathon,,ETH,18,Dubai (UAE),23 JAN 2015
3900,2:13:22,Simion TARUS,Men,Marathon,,KEN,4,Wuxi (CHN),25 MAR 2018
3900,2:13:22,Changhong ZHAO,Men,Marathon,27 DEC 1996,CHN,10,Nanjing (CHN),29 NOV 2020
3900,2:13:22,Saul ACOSTA,Men,Marathon,02 AUG 1990,MEX,9,"Houston, TX (USA)",14 JAN 2024
3900,2:13:22,Charles SULLE,Men,Marathon,,TAN,1,São Paulo (BRA),06 APR 2025
3915,2:13:23,Rafael MARQUES,Men,Marathon,12 JUL 1957,POR,2,Berlin (GER),04 OCT 1987
3915,2:13:23,Marnix GOEGEBEUR,Men,Marathon,12 JUN 1962,BEL,4,"Los Angeles, CA (USA)",06 MAR 1994
3915,2:13:23,José Luis MOLINA,Men,Marathon,08 MAR 1965,CRC,1,"Los Angeles, CA (USA)",03 MAR 1996
3915,2:13:23,Gino VAN GEYTE,Men,Marathon,16 MAR 1967,BEL,1,Gent (BEL),04 OCT 1998
3915,2:13:23,Shinobu MINAMI,Men,Marathon,12 NOV 1973,JPN,8,Tokyo (JPN),18 FEB 2001
3915,2:13:23,Ketema BEHAILU,Men,Marathon,19 MAR 1994,ETH,8,Paris (FRA),06 APR 2014
3915,2:13:23,Yusei NAKAO,Men,Marathon,28 FEB 1984,JPN,8,Oita (JPN),01 FEB 2015
3915,2:13:23,Said EL OTMANI,Men,Marathon,14 OCT 1991,ITA,35,Siena (ITA),11 APR 2021
3915,2:13:23,Reece EDWARDS,Men,Marathon,24 OCT 1990,AUS,13,Rotterdam (NED),24 OCT 2021
3915,2:13:23,Tianfan LUO,Men,Marathon,02 SEP 2001,CHN,21,Beijing (CHN),03 NOV 2024
3915,2:13:23,Mingyao WU,Men,Marathon,08 MAY 2002,CHN,24,Wuxi (CHN),23 MAR 2025
3915,2:13:23,Lorenz BAUM,Men,Marathon,25 MAY 1990,GER,4,"Friedrichswall, Hannover (GER)",06 APR 2025
3927,2:13:24,Yoshinobu KITAYAMA,Men,Marathon,21 JUL 1948,JPN,2,Otsu (JPN),18 MAR 1973
3927,2:13:24,Reinhard LEIBOLD,Men,Marathon,21 MAY 1947,FRG,4,Essonne (FRA),16 MAR 1980
3927,2:13:24,Yoshiharu NAKAI,Men,Marathon,27 JAN 1961,JPN,1,Hofu (JPN),22 DEC 1985
3927,2:13:24,Thomas EICKMANN,Men,Marathon,16 MAR 1962,FRG,7,Berlin (GER),28 SEP 1986
3927,2:13:24,Brad HUDSON,Men,Marathon,30 SEP 1966,USA,2,"Sacramento, CA (USA)",02 DEC 1990
3927,2:13:24,Hisashi WAKABAYASHI,Men,Marathon,1957,JPN,6,Oita (JPN),02 FEB 1992
3927,2:13:24,Benito OJEDA,Men,Marathon,07 MAY 1966,ESP,1,Sama de Langreo (ESP),15 OCT 1995
3927,2:13:24,Aleksandr ANTROPOV,Men,Marathon,25 DEC 1965,RUS,3,Bordeaux (FRA),03 MAY 1998
3927,2:13:24,Hillary Kipkosgei KORIR,Men,Marathon,10 NOV 1976,KEN,8,Venezia (ITA),24 OCT 1999
3927,2:13:24,Vasilios ZAMBELIS,Men,Marathon,07 MAY 1973,GRE,11,Rotterdam (NED),21 APR 2002
3927,2:13:24,Fabiano Joseph NAASI,Men,Marathon,24 DEC 1985,TAN,10,Amsterdam (NED),15 OCT 2006
3927,2:13:24,Edwin KIPKOECH,Men,Marathon,,KEN,4,Dongying (CHN),16 MAY 2010
3927,2:13:24,Takumi OWADA,Men,Marathon,05 OCT 1981,JPN,2,Nobeoka (JPN),13 FEB 2011
3927,2:13:24,David MUTAI,Men,Marathon,1974,KEN,2,Karlsruhe (GER),18 SEP 2011
3927,2:13:24,Robert Kiplagat KOSGEI,Men,Marathon,,KEN,14,Chongqing (CHN),18 MAR 2012
3927,2:13:24,Jae-hoon KIM,Men,Marathon,29 SEP 1989,KOR,11,Seoul (KOR),18 MAR 2018
3927,2:13:24,Tete DIJANA,Men,Marathon,1988,RSA,10,Cape Town (RSA),15 OCT 2023
3927,2:13:24,Wenliang MA,Men,Marathon,18 APR 2002,CHN,22,Beijing (CHN),03 NOV 2024
3927,2:13:24,Philippe PARROT-MIGAS,Men,Marathon,12 FEB 1993,CAN,15,"Houston, TX (USA)",19 JAN 2025
3946,2:13:25,Choe-Il SOB,Men,Marathon,27 MAR 1964,PRK,1,Pyongyang (PRK),25 APR 1985
3946,2:13:25,Alfonso ABELLAN,Men,Marathon,21 JUL 1951,ESP,7,Huy (BEL),30 APR 1988
3946,2:13:25,Roy DOONEY,Men,Marathon,23 JAN 1958,IRL,1,"Duluth, MN (USA)",20 JUN 1992
3946,2:13:25,Volmir HERBSTRITH,Men,Marathon,19 JUL 1965,BRA,1,Barcelona (ESP),14 MAR 1993
3946,2:13:25,Kurt STENZEL,Men,Marathon,12 MAR 1962,GER,1,Hannover (GER),18 APR 1993
3946,2:13:25,Lijun HAO,Men,Marathon,27 JAN 1974,CHN,2,Beijing (CHN),04 OCT 1997
3946,2:13:25,Gabino APOLONIO,Men,Marathon,29 AUG 1971,MEX,2,Torreón (MEX),03 MAR 2002
