Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1694,2:10:15,Chihiro ONO,Men,Marathon,22 JUL 1999,JPN,36,Osaka (JPN),26 FEB 2023
1694,2:10:15,Jun NOBUTO,Men,Marathon,24 DEC 1991,JPN,22,Tokyo (JPN),05 MAR 2023
1694,2:10:15,Abdelkarim BEN ZAHRA,Men,Marathon,27 OCT 1998,MAR,2,Nanchang (CHN),10 NOV 2024
1704,2:10:16,Kedebe GEMECHU,Men,Marathon,1973,ETH,3,San Sebastián (ESP),31 OCT 1993
1704,2:10:16,Makhosonke FIKA,Men,Marathon,20 JAN 1973,RSA,9,Berlin (GER),28 SEP 2003
1704,2:10:16,Henry Kapkiai KIMELI,Men,Marathon,1983,KEN,3,Roma (ITA),16 MAR 2008
1704,2:10:16,Justus Kipchirchir KIPRONO,Men,Marathon,28 FEB 1987,KEN,4,Hamburg (GER),25 APR 2010
1704,2:10:16,Bart VAN NUNEN,Men,Marathon,24 SEP 1995,NED,33,Valencia (ESP),06 DEC 2020
1704,2:10:16,Gilbert CHUMBA,Men,Marathon,06 JUL 1986,KEN,27,Siena (ITA),11 APR 2021
1704,2:10:16,Hiroto KANAMORI,Men,Marathon,10 FEB 1994,JPN,16,Osaka (JPN),27 FEB 2022
1704,2:10:16,Teshome MEKONEN,Men,Marathon,05 AUG 1995,USA,24,Berlin (GER),24 SEP 2023
1712,2:10:17,Geir KVERNMO,Men,Marathon,29 OCT 1955,NOR,5,London (GBR),10 MAY 1987
1712,2:10:17,Akira ZAYASU,Men,Marathon,15 JAN 1973,JPN,5,Fukuoka (JPN),03 DEC 1995
1712,2:10:17,Stephen KIRWA,Men,Marathon,01 MAR 1966,KEN,3,Chuncheon (KOR),26 OCT 1997
1712,2:10:17,Toshihiro IWASA,Men,Marathon,18 MAY 1976,JPN,6,Otsu (JPN),03 MAR 2002
1712,2:10:17,Christopher KANDIE,Men,Marathon,19 SEP 1969,KEN,1,Hamburg (GER),21 APR 2002
