Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
596,2:07:37,Pietro RIVA,Men,Marathon,01 MAY 1997,ITA,23,Valencia (ESP),01 DEC 2024
602,2:07:38,Nicholas Chelimo KIPKORIR,Men,Marathon,08 JAN 1983,KEN,2,Eindhoven (NED),10 OCT 2010
602,2:07:38,Christian PACHECO,Men,Marathon,26 MAY 1993,PER,11,Sevilla (ESP),19 FEB 2023
602,2:07:38,Yusuke TAMURA,Men,Marathon,23 DEC 1998,JPN,19,Berlin (GER),29 SEP 2024
602,2:07:38,Ebba Tulu CHALA,Men,Marathon,22 JUN 1996,SWE,13,Sevilla (ESP),23 FEB 2025
606,2:07:39,Henryk SZOST,Men,Marathon,20 JAN 1982,POL,2,Otsu (JPN),04 MAR 2012
606,2:07:39,Masato IMAI,Men,Marathon,02 APR 1984,JPN,7,Tokyo (JPN),22 FEB 2015
606,2:07:39,Tadashi ISSHIKI,Men,Marathon,05 JUN 1994,JPN,15,Tokyo (JPN),01 MAR 2020
606,2:07:39,Hosea CHIRCHIR,Men,Marathon,,KEN,2,Lisboa (POR),17 OCT 2021
606,2:07:39,Felix KIPKOECH,Men,Marathon,01 FEB 1998,KEN,6,Amsterdam (NED),20 OCT 2024
611,2:07:40,Hiromi TANIGUCHI,Men,Marathon,05 APR 1960,JPN,2,Beijing (CHN),16 OCT 1988
611,2:07:40,Masaru AOKI,Men,Marathon,16 MAY 1990,JPN,12,Otsu (JPN),28 FEB 2021
611,2:07:40,Alberto GONZALEZ MINDEZ,Men,Marathon,28 FEB 1996,GUA,25,Valencia (ESP),03 DEC 2023
611,2:07:40,Mitku TAFA,Men,Marathon,,ETH,3,Doha (QAT),17 JAN 2025
611,2:07:40,Bukayawe MALEDE,Men,Marathon,01 APR 1997,ISR,15,Sevilla (ESP),23 FEB 2025
616,2:07:41,Elijah LAGAT,Men,Marathon,19 JUN 1966,KEN,1,Berlin (GER),28 SEP 1997
616,2:07:41,Philip MANYIM,Men,Marathon,24 MAR 1978,KEN,1,Berlin (GER),25 SEP 2005
616,2:07:41,Debebe TOLOSSA,Men,Marathon,1980,ETH,2,"Houston, TX (USA)",15 JAN 2012
616,2:07:41,Girma BEYENE,Men,Marathon,28 NOV 1983,ETH,2,Marrakech (MAR),27 JAN 2013
616,2:07:41,Solomon MUTAI,Men,Marathon,22 OCT 1992,UGA,1,Venezia (ITA),22 OCT 2023
616,2:07:41,Emmanuel NAIBEI,Men,Marathon,20 JUL 1983,KEN,2,Venezia (ITA),22 OCT 2023
616,2:07:41,Emmanuel ROUDOLFF,Men,Marathon,30 JUL 1995,FRA,16,Sevilla (ESP),23 FEB 2025
623,2:07:42,José RÍOS,Men,Marathon,15 MAR 1974,ESP,1,Otsu (JPN),07 MAR 2004
623,2:07:42,Kenai Kiprotich KENEI,Men,Marathon,01 JAN 1978,KEN,3,Hamburg (GER),29 APR 2007
623,2:07:42,Masaki SAKUDA,Men,Marathon,06 MAY 1996,JPN,14,Otsu (JPN),28 FEB 2021
623,2:07:42,Benjamin CHOQUERT,Men,Marathon,17 APR 1986,FRA,26,Valencia (ESP),03 DEC 2023
627,2:07:43,Erick KIMAIYO KIMASE,Men,Marathon,08 JUL 1969,KEN,2,Berlin (GER),28 SEP 1997
627,2:07:43,Girma ASSEFA,Men,Marathon,20 JUN 1986,ETH,5,Paris (FRA),10 APR 2011
627,2:07:43,Gemechu WORKU,Men,Marathon,1985,ETH,4,See Genezareth (ISR),12 JAN 2012
627,2:07:43,Jairus CHANCHIMA,Men,Marathon,05 DEC 1984,KEN,7,Seoul (KOR),18 MAR 2012
627,2:07:43,Julius TUWEI,Men,Marathon,26 SEP 1993,KEN,1,Enschede (NED),24 APR 2022
627,2:07:43,Evans SAMBU,Men,Marathon,21 AUG 1993,KEN,9,Barcelona (ESP),08 MAY 2022
627,2:07:43,Taoufik ALLAM,Men,Marathon,30 APR 1989,MAR,1,Roma (ITA),19 MAR 2023
634,2:07:44,Héctor GARIBAY,Men,Marathon,09 JUL 1988,BOL,13,Sevilla (ESP),19 FEB 2023
635,2:07:45,Simretu ALEMAYEHU,Men,Marathon,18 OCT 1970,ETH,1,Torino (ITA),01 APR 2001
635,2:07:45,Edwin KOMEN,Men,Marathon,1980,KEN,3,Seoul (KOR),16 MAR 2008
635,2:07:45,Teferi WODAJO,Men,Marathon,27 JAN 1982,ETH,4,Amsterdam (NED),18 OCT 2009
635,2:07:45,Moses Kigen KIPKOSGEI,Men,Marathon,10 JAN 1983,KEN,12,Dubai (UAE),27 JAN 2012
635,2:07:45,Patrick TIERNAN,Men,Marathon,11 SEP 1994,AUS,4,"Houston, TX (USA)",14 JAN 2024
635,2:07:45,Godadaw BELACHEW,Men,Marathon,22 JAN 1997,ISR,7,Rotterdam (NED),14 APR 2024
635,2:07:45,Hicham AMGHAR,Men,Marathon,15 MAY 1994,MAR,4,Dongying (CHN),20 OCT 2024
642,2:07:46,Patrick Mutuku IVUTI,Men,Marathon,30 JUL 1978,KEN,5,"Chicago, IL (USA)",09 OCT 2005
642,2:07:46,Chesari Kirui JACOB,Men,Marathon,06 APR 1984,KEN,4,Frankfurt (GER),27 OCT 2013
642,2:07:46,Evans KIPLAGAT,Men,Marathon,05 MAR 1988,KEN,2,Seoul (KOR),09 NOV 2014
642,2:07:46,Augustino Paulo SULLE,Men,Marathon,13 OCT 1997,TAN,2,Toronto (CAN),21 OCT 2018
642,2:07:46,Abrar OSMAN,Men,Marathon,01 JAN 1994,ERI,10,Amsterdam (NED),20 OCT 2019
642,2:07:46,Derese WORKNEH,Men,Marathon,23 JUL 1995,ETH,5,Oita (JPN),02 FEB 2025
648,2:07:47,Dathan RITZENHEIN,Men,Marathon,30 DEC 1982,USA,9,"Chicago, IL (USA)",07 OCT 2012
648,2:07:47,Asefa MENGISA,Men,Marathon,14 MAY 1997,ETH,1,Osaka (JPN),01 DEC 2019
648,2:07:47,Conner MANTZ,Men,Marathon,08 DEC 1996,USA,6,"Chicago, IL (USA)",08 OCT 2023
648,2:07:47,Yago ROJO,Men,Marathon,23 MAR 1995,ESP,28,Valencia (ESP),03 DEC 2023
652,2:07:48,Francisco Javier CORTÉS,Men,Marathon,26 OCT 1971,ESP,2,Hamburg (GER),22 APR 2001
652,2:07:48,Arata FUJIWARA,Men,Marathon,12 SEP 1981,JPN,2,Tokyo (JPN),26 FEB 2012
652,2:07:48,Dereje DEBELE,Men,Marathon,28 JUN 1986,ETH,1,Düsseldorf (GER),28 APR 2013
