Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
3196,2:12:30,Wubshet JOTE,Men,Marathon,19 DEC 1992,ETH,9,Cape Town (RSA),17 OCT 2021
3196,2:12:30,Muleta MEDA,Men,Marathon,,ETH,5,Zürich (SUI),23 APR 2023
3196,2:12:30,Ati NIANZHE,Men,Marathon,10 JUN 1996,CHN,12,Shanghai (CHN),26 NOV 2023
3196,2:12:30,Ebrahim ALTAMIMI,Men,Marathon,,BRN,53,Valencia (ESP),03 DEC 2023
3196,2:12:30,George ONYANCHA,Men,Marathon,10 JUN 1993,KEN,2,Huai'an (CHN),21 APR 2024
3196,2:12:30,Hiroki ABE,Men,Marathon,19 NOV 1997,JPN,49,Osaka (JPN),24 FEB 2025
3196,2:12:30,Victor KWEMBOI,Men,Marathon,2000,UGA,2,Padova (ITA),27 APR 2025
3208,2:12:31,John MAKANYA,Men,Marathon,29 DEC 1964,TAN,2,Frankfurt (GER),19 MAY 1985
3208,2:12:31,Vladimir ZAKIROV,Men,Marathon,28 NOV 1958,URS,4,Uzhgorod (URS),12 APR 1987
3208,2:12:31,Andrey KUZNETSOV,Men,Marathon,27 NOV 1957,RUS,4,Marrakech (MAR),14 JAN 1996
3208,2:12:31,Keith BRANTLY,Men,Marathon,23 MAY 1962,USA,1,"Pittsburgh, PA (USA)",03 MAY 1998
3208,2:12:31,Yukiyasu NAGAO,Men,Marathon,25 APR 1974,JPN,14,Otsu (JPN),07 MAR 2004
3208,2:12:31,Reuben CHEPWIK,Men,Marathon,,KEN,3,Beograd (SRB),22 APR 2006
3208,2:12:31,Hakim RADOUAN,Men,Marathon,1974,MAR,5,Marrakech (MAR),27 JAN 2008
3208,2:12:31,Roman PRODIUS,Men,Marathon,12 APR 1981,MDA,2,Mainz (GER),09 MAY 2010
3208,2:12:31,Muryo TAKASE,Men,Marathon,31 JAN 1989,JPN,8,Otsu (JPN),02 MAR 2014
3208,2:12:31,David NGAKANE,Men,Marathon,12 MAR 1980,RSA,5,Bloemfontein (RSA),16 APR 2016
3208,2:12:31,Adil OULAD LIDAME,Men,Marathon,02 FEB 1982,MAR,6,Marrakech (MAR),29 JAN 2023
3208,2:12:31,Yuya KAWATA,Men,Marathon,31 JAN 1998,JPN,7,Nobeoka (JPN),11 FEB 2024
3220,2:12:32,Gary SIRIANO,Men,Marathon,24 DEC 1957,USA,1,"Eugene, OR (USA)",11 SEP 1983
3220,2:12:32,Andreas WENIGER,Men,Marathon,19 JAN 1958,FRG,4,"Houston, TX (USA)",06 JAN 1985
3220,2:12:32,Kenji IDE,Men,Marathon,19 JUL 1959,JPN,6,Otsu (JPN),10 MAR 1985
3220,2:12:32,Masashi FUKUDA,Men,Marathon,1967,JPN,5,Oita (JPN),05 FEB 1995
