Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1500,2:30:58,,Manuela VEITH-ZIPSE,11 MAY 1974,GER,2,,Hamburg (GER),19 APR 1998,1123
1500,2:30:58,,Eva SANZ,04 JUL 1973,ESP,5,,Rotterdam (NED),22 APR 2001,1123
1503,2:30:59,,Chaltu DIDA,20 SEP 1992,ETH,1,,Münster (GER),08 SEP 2019,1123
1504,2:31:00,,Tatyana ZUYEVA,20 NOV 1959,URS,4,,Carpi (ITA),27 OCT 1991,1123
1504,2:31:00,,Tish JONES,07 SEP 1985,GBR,16,,London (GBR),28 APR 2019,1123
1504,2:31:00,,Jingfen LI,12 APR 1999,CHN,17,,Wuxi (CHN),24 MAR 2024,1123
1507,2:31:01,,Katie MCGREGOR,02 SEP 1977,USA,10,,"New York, NY (USA)",07 NOV 2010,1123
1507,2:31:01,,Linying WANG,16 DEC 2003,CHN,18,,Wuxi (CHN),24 MAR 2024,1123
1509,2:31:02,,Yuka YANO,11 JUN 1986,JPN,1,,Fukuoka (JPN),09 FEB 2014,1122
1509,2:31:02,,Mapaseka MAKHANYA,09 APR 1985,RSA,3,,Hannover (GER),19 APR 2015,1122
1509,2:31:02,,Alem Mokonnin OURGE,19 JUN 1994,ETH,1,,Casablanca (MAR),25 OCT 2015,1122
1509,2:31:02,,Jessa HANSON,,USA,18,,"Orlando, FL (USA)",03 FEB 2024,1122
1513,2:31:03,,Wenhui FENG,21 JAN 1974,CHN,10,,Tianjin (CHN),04 APR 1993,1122
1513,2:31:03,,Mika HIKICHI,07 FEB 1982,JPN,10,,Nagoya (JPN),12 MAR 2006,1122
1513,2:31:03,,Chenchen WANG,,CHN,3,,Shanghai (CHN),29 NOV 2009,1122
1516,2:31:04,,Teruko OE,16 JUN 1969,JPN,1,,Nagoya (JPN),01 MAR 1992,1122
1516,2:31:04,,Ester BARMASAI,1972,KEN,1,,Frankfurt (GER),29 OCT 2000,1122
1518,2:31:05,,Evy PALM,31 JAN 1942,SWE,6,,London (GBR),23 APR 1989,1122
1518,2:31:05,,Rosa OLIVEIRA,25 JUL 1966,POR,8,,Berlin (GER),29 SEP 1996,1122
1518,2:31:05,,Nikki CHAPPLE,09 FEB 1981,AUS,1,,Melbourne (AUS),12 OCT 2014,1122
1518,2:31:05,,Beshadu BEKELE,09 DEC 1991,ETH,3,,Ljubljana (SLO),30 OCT 2016,1122
