Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1698,2:31:53,,Yingcui LI,16 AUG 2002,CHN,20,,Wuxi (CHN),24 MAR 2024,1114
1702,2:31:54,,Sandra VAN DER HAESEVELD,1971,BEL,4,,Amsterdam (NED),21 OCT 2001,1114
1702,2:31:54,,Marta TIGABEA MEKONEN,04 OCT 1990,ETH,1,,Porto (POR),02 NOV 2014,1114
1702,2:31:54,,Marnie PONTON,16 MAR 1984,AUS,3,,Melbourne (AUS),12 DEC 2021,1114
1702,2:31:54,,Emilie JACQUOT-CLAUDE,27 MAR 1985,FRA,49,,Valencia (ESP),03 DEC 2023,1114
1706,2:31:55,,Marily DOS SANTOS,05 FEB 1978,BRA,1,,Padova (ITA),22 APR 2012,1114
1706,2:31:55,,Irene CHEPKIRUI,1982,KEN,1,,Poznan (POL),12 OCT 2014,1114
1706,2:31:55,,Jila DAWA,02 JAN 1998,CHN,4,,Xuzhou (CHN),24 MAR 2019,1114
1706,2:31:55,,Katie MOEN,20 APR 1992,USA,14,,"New York, NY (USA)",03 NOV 2019,1114
1710,2:31:56,,Tatyana GRIDNYEVA,23 MAY 1958,URS,4,,Seoul (KOR),11 APR 1987,1114
1710,2:31:56,,Maria Teresa PULIDO,01 OCT 1974,ESP,3,,Rotterdam (NED),13 APR 2003,1114
1710,2:31:56,,Yamna OUBOUHOU,20 FEB 1974,FRA,11,,Paris (FRA),06 APR 2008,1114
1710,2:31:56,,Alissa MCKAIG,21 FEB 1986,USA,8,,"Houston, TX (USA)",14 JAN 2012,1114
1710,2:31:56,,Veerle DEJAEGHERE,01 AUG 1973,BEL,16,,Berlin (GER),27 SEP 2015,1114
1710,2:31:56,,Rosie EDWARDS,20 AUG 1988,GBR,3,,London (GBR),26 MAR 2021,1114
1710,2:31:56,,Shujia DENG,09 JUN 2002,CHN,7,,Wuxi (CHN),19 MAR 2023,1114
1717,2:31:57,,Wu MEI,09 NOV 1973,CHN,9,,Beijing (CHN),04 OCT 1997,1113
1717,2:31:57,,Nadezhda LEONTYEVA,26 JUN 1984,RUS,3,,Moskva (RUS),14 MAY 2011,1113
1717,2:31:57,,Elisa STEFANI,04 MAY 1986,ITA,4,,Firenze (ITA),24 NOV 2019,1113
1720,2:31:58,,Emi YAMAOKA,15 NOV 1974,JPN,11,,Nagoya (JPN),10 MAR 1996,1113
1720,2:31:58,,Sarah REITER,07 NOV 1993,USA,8,,"Duluth, MN (USA)",17 JUN 2023,1113
1720,2:31:58,,Caroline JEPKEMEI,1992,KEN,2,,Padova (ITA),21 APR 2024,1113
1723,2:32:00,,Guoxiang ZHOU,,CHN,2,,Tianjin (CHN),10 APR 1999,1113
1723,2:32:00,,Yuko SHIMIZU,13 JUL 1985,JPN,9,,London (GBR),13 APR 2014,1113
1723,2:32:00,,Bentu Shiferaw WODAJO,01 OCT 1995,ETH,4,,Zhengzhou (CHN),26 MAR 2017,1113
1723,2:32:00,,Doroteia PEIXOTO,07 OCT 1983,POR,1,,Düsseldorf (GER),30 APR 2017,1113
1723,2:32:00,,Rutendo Joan NYAHORA,11 NOV 1988,ZIM,15,,Frankfurt (GER),29 OCT 2023,1113
1728,2:32:01,,Fatima SILVA,06 MAY 1970,POR,3,,Hamburg (GER),21 APR 2002,1113
1728,2:32:01,,Valdilene DOS SANTOS SILVA,18 DEC 1991,BRA,15,,Frankfurt (GER),28 OCT 2018,1113
1728,2:32:01,,Meka WAKE,10 JUN 1996,ETH,4,,Wuxi (CHN),24 MAR 2019,1113
1728,2:32:01,,Meixia ZHANG,20 JAN 1991,CHN,3,,Guangzhou (CHN),08 DEC 2019,1113
1728,2:32:01,,Rebecca GENTRY,27 MAR 1986,GBR,4,,London (GBR),26 MAR 2021,1113
1733,2:32:02,,Aiko MAGOME,13 NOV 1972,JPN,4,,Nagoya (JPN),13 MAR 1994,1113
1733,2:32:02,,Edith IRUNGU,,KEN,1,,Nairobi (KEN),26 OCT 2014,1113
1733,2:32:02,,Lina Jepkemoi KAINO,11 FEB 1989,KEN,6,,Nairobi (KEN),29 OCT 2023,1113
1736,2:32:03,,Elena MURGOCI,20 MAY 1960,ROU,1,,Rotterdam (NED),16 APR 1989,1113
1736,2:32:03,,Tatyana VILISOVA,27 NOV 1979,RUS,1,,Mainz (GER),06 MAY 2012,1113
1738,2:32:04,,Giovanna VOLPATO,20 AUG 1975,ITA,8,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1112
1738,2:32:04,,Nebiat HABTEMARIAM,29 DEC 1978,ERI,7,,Hamburg (GER),27 APR 2008,1112
1738,2:32:04,,Mehtap DOĞAN-SIZMAZ,16 NOV 1978,TUR,1,,Madrid (ESP),26 APR 2009,1112
1741,2:32:05,,Yelena GUNDELAKH,19 APR 1974,RUS,1,,Moskva (RUS),16 MAY 1999,1112
1741,2:32:05,,Sarah PAGANO,23 JUL 1991,USA,17,,Nagoya (JPN),12 MAR 2023,1112
1743,2:32:06,,Ro OK UN,14 NOV 1989,PRK,1,,Pyongyang (PRK),10 APR 2011,1112
1743,2:32:06,,Anke ESSER,21 MAY 1990,GER,13,,"Chicago, IL (USA)",13 OCT 2019,1112
1745,2:32:07,,Maria Guadalupe LOMA,12 DEC 1967,MEX,4,,Paris (FRA),06 APR 1997,1112
1745,2:32:07,,Xin ZHANG,08 JUN 1989,CHN,1,,Shanghai (CHN),26 NOV 2006,1112
1747,2:32:08,,Kristina GARLIPP,29 SEP 1961,GDR,2,,Budapest (HUN),26 OCT 1986,1112
1747,2:32:08,,Kum-sil RI,02 NOV 1976,PRK,24,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1112
1747,2:32:08,,Yoshie KITOMI,25 DEC 1984,JPN,10,,Nagoya (JPN),08 MAR 2009,1112
1747,2:32:08,,Winfredah KEBASO,16 APR 1985,KEN,5,,Saitama (JPN),15 NOV 2015,1112
1747,2:32:08,,Vitalyne JEMAIYO,28 AUG 1993,KEN,1,,Brescia (ITA),10 MAR 2019,1112
1747,2:32:08,,Yuko KIKUCHI,08 JUN 1992,JPN,23,,Nagoya (JPN),13 MAR 2022,1112
1747,2:32:08,,Su-min LEE,13 DEC 1992,KOR,7,,Daegu (KOR),03 APR 2022,1112
1747,2:32:08,,Diana BOGANTES,10 NOV 1988,CRC,50,,Valencia (ESP),03 DEC 2023,1112
1755,2:32:09,,Maria TRUJILLO,19 OCT 1959,MEX,1,,"Columbus, OH (USA)",08 NOV 1987,1112
1755,2:32:09,,Toshiko MORI,21 JAN 1974,JPN,12,,Nagoya (JPN),10 MAR 1996,1112
1755,2:32:09,,Rachel HANNAH,02 OCT 1986,CAN,6,,"Houston, TX (USA)",17 JAN 2016,1112
1755,2:32:09,,Sakiko MATSUMI,07 AUG 1988,JPN,17,,Nagoya (JPN),13 MAR 2016,1112
1759,2:32:10,,Olga ROSSEYEVA,01 AUG 1981,RUS,8,,Hamburg (GER),27 APR 2008,1111
1759,2:32:10,,Jinting SONG,20 MAR 1995,CHN,7,,Xuzhou (CHN),11 APR 2021,1111
1761,2:32:11,,Hong-yan XIAO,1965,CHN,1,,Tianjin (CHN),29 MAR 1987,1111
1761,2:32:11,,Lesley LEHANE,12 MAR 1963,USA,3,,St. Paul (USA),02 OCT 1988,1111
1761,2:32:11,,Hiromi WATANABE,24 FEB 1979,JPN,9,,Nagoya (JPN),10 MAR 2002,1111
1761,2:32:11,,Kedir REHIMA,11 DEC 1985,ETH,6,,Daegu (KOR),10 APR 2011,1111
1761,2:32:11,,Dorothy MCMAHAN,06 NOV 1976,USA,7,,"Chicago, IL (USA)",07 OCT 2012,1111
1761,2:32:11,,Saki TOKORO,23 MAY 1994,JPN,6,,Saitama (JPN),09 DEC 2018,1111
1761,2:32:11,,Sheila Jepkosgei CHESANG,17 JUL 1986,KEN,3,,Buri Ram (THA),27 JAN 2024,1111
1768,2:32:12,,Emily ROTICH,29 AUG 1979,KEN,2,,Dublin (IRL),31 OCT 2011,1111
1769,2:32:13,,Mi-Kyoung LEE,26 MAY 1975,KOR,2,,Kyongju (KOR),24 MAR 1996,1111
1769,2:32:13,,Hui LI,11 MAY 1987,CHN,4,,Shanghai (CHN),04 DEC 2011,1111
1769,2:32:13,,Xiaolin ZHENG,17 APR 1989,CHN,8,,Beijing (CHN),25 NOV 2012,1111
1769,2:32:13,,Trihas GEBRE,29 APR 1990,ESP,9,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1111
1773,2:32:14,,Jin-suk CHANG,10 JAN 1983,KOR,1,,Jeonju (KOR),01 JAN 2004,1111
1773,2:32:14,,Hitomi MIZUGUCHI,12 AUG 1996,JPN,15,,Tokyo (JPN),05 MAR 2023,1111
1773,2:32:14,,Hanne Mjøen MARIDAL,21 SEP 1996,NOR,11,,Wien (AUT),21 APR 2024,1111
1776,2:32:15,,Takako KOTORIDA,02 APR 1977,JPN,8,,Osaka (JPN),25 JAN 2004,1111
1776,2:32:15,,Nataliya BERKUT,30 MAY 1975,UKR,16,,Osaka (JPN),27 JAN 2008,1111
1776,2:32:15,,Ruth MATEBO,07 FEB 1988,KEN,5,,Marrakech (MAR),28 JAN 2018,1111
1776,2:32:15,,Sadiya AWEL,,ETH,4,,Hangzhou (CHN),17 DEC 2023,1111
1780,2:32:16,,Yuriko KAJIMOTO,07 MAY 1968,JPN,12,,Osaka (JPN),26 JAN 1992,1110
1780,2:32:16,,Hisako INAMI,19 MAY 1971,JPN,10,,Osaka (JPN),25 JAN 1998,1110
1780,2:32:16,,Jennifer Chesinon LINGAKWIANG,06 AUG 1982,KEN,1,,Bruxelles (BEL),10 OCT 2004,1110
1780,2:32:16,,Ling WANG,22 SEP 1987,CHN,4,,Xiamen (CHN),26 MAR 2005,1110
1780,2:32:16,,Emi IKEDA,29 AUG 1983,JPN,10,,Tokyo (JPN),26 FEB 2012,1110
1780,2:32:16,,Xuemei HUANG,04 NOV 1992,CHN,7,,Beijing (CHN),29 OCT 2023,1110
1780,2:32:16,,Maya WEIGEL,,USA,20,,"Orlando, FL (USA)",03 FEB 2024,1110
1787,2:32:17,,Yelena VINITSKAYA,23 AUG 1973,BLR,2,,"Austin, TX (USA)",17 FEB 2002,1110
1787,2:32:17,,Larisa MALIKOVA,02 APR 1969,RUS,3,,Hamburg (GER),18 APR 2004,1110
1787,2:32:17,,Fiona DOCHERTY,01 SEP 1975,NZL,9,,"Chicago, IL (USA)",10 OCT 2010,1110
1787,2:32:17,,Sinke DESSIE,11 OCT 1994,ETH,5,,Hong Kong (HKG),17 FEB 2019,1110
1791,2:32:18,,Jiang BO,13 MAR 1977,CHN,1,,Dalian (CHN),05 NOV 1995,1110
1791,2:32:18,,Sarah Kiptoo JERIWOI,1989,KEN,2,,St. Paul (USA),09 OCT 2016,1110
1791,2:32:18,,Brenda FLORES,04 SEP 1991,MEX,15,,"Chandler, AZ (USA)",20 DEC 2020,1110
1791,2:32:18,,Deysi CASTRO,,PER,4,,Lima (PER),19 MAY 2024,1110
1795,2:32:19,,Danna KELLY-HERRICK,31 OCT 1986,USA,16,,Frankfurt (GER),28 OCT 2018,1110
1796,2:32:20,,Hiroko KINUKI,18 JUL 1974,JPN,9,,Nagoya (JPN),12 MAR 2000,1110
1796,2:32:20,,Florinda ANDREUCCI,19 DEC 1969,ITA,6,,Torino (ITA),21 APR 2002,1110
1796,2:32:20,,Hiroko MIYAUCHI,19 JUN 1983,JPN,7,,Yokohama (JPN),15 NOV 2009,1110
1796,2:32:20,,Min WANG,22 JAN 1997,CHN,28,,Berlin (GER),24 SEP 2023,1110
1800,2:32:21,,Miwako KONDO,14 FEB 1975,JPN,6,,Tokyo (JPN),15 NOV 1998,1110
