Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
2198,2:33:55,,Melese BIRHANU,12 SEP 1999,ETH,5,,Dalian (CHN),15 OCT 2023,1094
2202,2:33:56,,Rimma DUBOVIK,12 JAN 1964,UKR,4,,Hamburg (GER),19 APR 1998,1094
2202,2:33:56,,Ayanoa KOZUKA,27 OCT 1977,JPN,6,,Nagoya (JPN),14 MAR 1999,1094
2202,2:33:56,,Joan Nancy ROTICH,24 DEC 1987,KEN,2,,Münster (GER),08 SEP 2013,1094
2202,2:33:56,,Meseret GONFA,,ETH,9,,Shanghai (CHN),30 OCT 2016,1094
2202,2:33:56,,Ni SHEN,29 NOV 1998,CHN,10,,Beijing (CHN),29 OCT 2023,1094
2202,2:33:56,,María José CALFILAF,03 MAY 1996,CHI,1,,Temuco (CHI),07 APR 2024,1094
2208,2:33:57,,Nanae SASAKI,08 FEB 1956,JPN,1,,Nagoya (JPN),03 MAR 1985,1094
2208,2:33:57,,Eri KUROTAKI,1979,JPN,1,,Ageo (JPN),04 FEB 2001,1094
2210,2:33:58,,Chantal LANGLACÉ,06 JAN 1955,FRA,1,,Lille (FRA),06 SEP 1986,1094
2210,2:33:58,,Josefa CRUZ,12 MAR 1958,ESP,3,,Sevilla (ESP),27 FEB 1994,1094
2210,2:33:58,,Tara QUINN-SMITH,19 SEP 1979,CAN,4,,Ottawa (CAN),25 MAY 2008,1094
2213,2:33:59,,Song-Il OK,,PRK,11,,Pyongyang (PRK),08 APR 2007,1094
2213,2:33:59,,Epiphanie NYIRABARAME,15 DEC 1981,RWA,25,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1094
2213,2:33:59,,Nami TANI,20 APR 1987,JPN,4,,Sapporo (JPN),30 AUG 2009,1094
2213,2:33:59,,Kim YON OK,,PRK,6,,Pyongyang (PRK),08 APR 2012,1094
2213,2:33:59,,Eunice MUMBUA KIOKO,04 OCT 1987,KEN,2,,Münster (GER),10 SEP 2017,1094
2213,2:33:59,,Zuolan HUANG,02 JUN 1999,CHN,12,,Nanjing (CHN),29 NOV 2020,1094
2219,2:34:00,,Luci Njeri MUHAMI,20 JUN 1978,KEN,2,,Monterrey (MEX),16 DEC 2007,1094
2220,2:34:01,,Takako HIROSE,10 SEP 1970,JPN,8,,Nagoya (JPN),14 MAR 1999,1093
2220,2:34:01,,Kumi OGURA,24 JUN 1985,JPN,15,,Nagoya (JPN),10 MAR 2013,1093
2220,2:34:01,,Esther ATKINS,20 APR 1986,USA,1,,St. Paul (USA),05 OCT 2014,1093
2220,2:34:01,,Pamela CHEPKOECH,1984,KEN,2,,Linyi (CHN),15 NOV 2015,1093
2220,2:34:01,,Tsedal GEBRETSADIK,,ETH,1,,Beograd (SRB),15 MAY 2022,1093
2225,2:34:02,,Ayumi ISHIKURA,13 NOV 1967,JPN,3,,Nagoya (JPN),05 MAR 1989,1093
2225,2:34:02,,Sara Elizabeth SEDILLO SANCHEZ,20 SEP 1976,MEX,2,,Torreón (MEX),03 MAR 2002,1093
