Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1998,2:33:10,,Kassaye AGIMAS,,ETH,4,,Changsha (CHN),27 OCT 2019,1102
1998,2:33:10,,Marcella HERZOG,24 FEB 1993,NED,14,,Rotterdam (NED),14 APR 2024,1102
2003,2:33:11,,Nan DAVIS,03 JUL 1962,USA,1,,"Sacramento, CA (USA)",03 DEC 1989,1101
2003,2:33:11,,Nian LIU,26 APR 1988,CHN,3,,Shanghai (CHN),05 DEC 2010,1101
2005,2:33:12,,Kim JONG-SUN,09 MAR 1981,PRK,7,,Pyongyang (PRK),13 APR 2003,1101
2005,2:33:12,,Akane TAIRA,03 NOV 1982,JPN,14,,Nagoya (JPN),09 MAR 2008,1101
2005,2:33:12,,Lucy WANJIKU,,KEN,2,,Astana (KAZ),16 SEP 2018,1101
2005,2:33:12,,Margaretha MONTOYA,1995,USA,22,,"Orlando, FL (USA)",03 FEB 2024,1101
2009,2:33:13,,Yelena SEMYONOVA,31 DEC 1963,URS,2,,Belaya Tserkov (URS),21 APR 1991,1101
2009,2:33:13,,Tracey MORRIS,09 SEP 1967,GBR,4,,Melbourne (AUS),19 MAR 2006,1101
2009,2:33:13,,Durbe Neme KUMSA,,ETH,4,,Valencia (ESP),17 NOV 2013,1101
2012,2:33:14,,Suyun LI,03 SEP 1989,CHN,8,,Dalian (CHN),30 APR 2011,1101
2012,2:33:14,,Dawn GRUNNAGLE,29 NOV 1977,USA,13,,Berlin (GER),29 SEP 2019,1101
2012,2:33:14,,Brittany CHARBONEAU,08 JUN 1988,USA,13,,"Atlanta, GA (USA)",29 FEB 2020,1101
2012,2:33:14,,Hawi MEGERSSA,30 NOV 1996,ETH,3,,Bregenz (AUT),09 OCT 2022,1101
2012,2:33:14,,Anjing JIAO,03 SEP 1995,CHN,6,,Xiamen (CHN),02 APR 2023,1101
2017,2:33:15,,Yelena KHAMIZINA,1975,RUS,3,,Omsk (RUS),05 AUG 1995,1101
2017,2:33:15,,Sara WELLS,19 MAR 1979,USA,7,,St. Louis (USA),03 APR 2004,1101
2017,2:33:15,,Seika IWAMURA,04 JUL 1984,JPN,10,,Osaka (JPN),31 JAN 2010,1101
2017,2:33:15,,Xiaoli JIANG,06 APR 1989,CHN,5,,Shanghai (CHN),04 DEC 2011,1101
2017,2:33:15,,Margaret Njuguna WANGUI,03 AUG 1969,KEN,2,,"Duluth, MN (USA)",22 JUN 2019,1101
2022,2:33:16,,Karen MACLEOD,24 APR 1958,GBR,4,,Victoria (CAN),22 AUG 1994,1101
2022,2:33:16,,Liliya YADZHAK,14 NOV 1970,RUS,4,,Praha (CZE),14 MAY 2006,1101
2024,2:33:17,,Sylvia RENZ,06 JUN 1969,GER,4,,Frankfurt (GER),25 OCT 1998,1100
2024,2:33:17,,Marcella MANCINI,05 SEP 1971,ITA,4,,Torino (ITA),17 APR 2005,1100
2026,2:33:18,,Sinikka KESKITALO,29 JAN 1951,FIN,5,,"Boston, MA (USA)",21 APR 1986,1100
2026,2:33:18,,Qiu-li YU,25 SEP 1967,CHN,4,,Beijing (CHN),15 OCT 1989,1100
2026,2:33:18,,Aya MANOME,30 AUG 1982,JPN,11,,Nagoya (JPN),08 MAR 2009,1100
2029,2:33:19,,Ľudmila MELICHEROVÁ,06 JUN 1964,TCH,1,,Wien (AUT),22 APR 1990,1100
2029,2:33:19,,Nyla CARROLL,24 NOV 1965,NZL,8,,London (GBR),02 APR 1995,1100
2029,2:33:19,,Guang ZENG,09 MAY 1986,CHN,4,,Beijing (CHN),17 OCT 2004,1100
2029,2:33:19,,Agnieszka GORTEL,20 MAR 1977,POL,7,,"Houston, TX (USA)",17 JAN 2016,1100
2029,2:33:19,,Marie-Ange BRUMELOT,14 JAN 1993,FRA,14,,Rotterdam (NED),16 APR 2023,1100
