Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1600,2:31:29,,Sakiko KATO,08 MAY 1979,JPN,8,,Nagoya (JPN),10 MAR 2002,1118
1600,2:31:29,,Inga JUODEŠKIENĖ,21 OCT 1971,LTU,3,,Frankfurt (GER),27 OCT 2002,1118
1600,2:31:29,,Zhang XIAN,,CHN,6,,Beijing (CHN),21 OCT 2007,1118
1600,2:31:29,,Emeline DELANIS,22 MAR 1997,FRA,19,,"Chicago, IL (USA)",08 OCT 2023,1118
1600,2:31:29,,Katherine TISALEMA PURUNCAJA,28 JUL 1996,ECU,34,,Sevilla (ESP),18 FEB 2024,1118
1606,2:31:30,,Hafida IZEM,20 APR 1979,MAR,3,,Frankfurt (GER),29 OCT 2006,1118
1606,2:31:30,,Karina PÉREZ,04 OCT 1982,MEX,2,,Torreón (MEX),04 MAR 2012,1118
1606,2:31:30,,Mona STOCKHECKE,11 OCT 1983,GER,8,,Frankfurt (GER),30 OCT 2016,1118
1606,2:31:30,,Purity CHEROMEI,,KEN,4,,Firenze (ITA),26 NOV 2023,1118
1610,2:31:31,,Gitte KARLSHØJ,14 MAY 1959,DEN,2,,"Chicago, IL (USA)",19 OCT 1997,1118
1610,2:31:31,,Emmah Cheruto NDIWA,15 FEB 1996,KEN,1,,Beograd (SRB),28 APR 2024,1118
1612,2:31:32,,Ho-sun PARK,17 NOV 1986,KOR,1,,Seoul (KOR),03 NOV 2013,1118
1612,2:31:32,,Chika IHARA,12 JUL 1995,JPN,11,,Osaka (JPN),27 JAN 2019,1118
1612,2:31:32,,Tinebeb NEBIYU,2000,ETH,6,,Abu Dhabi (UAE),16 DEC 2023,1118
1615,2:31:33,,Susan TOOBY,24 OCT 1960,GBR,12,,"Olympic Stadium, Seoul (KOR)",23 SEP 1988,1117
1615,2:31:33,,Andrea WALLACE,22 NOV 1966,GBR,3,,London (GBR),12 APR 1992,1117
1615,2:31:33,,Olga KALENDAROVA,15 JUL 1985,POL,4,,Wien (AUT),15 APR 2012,1117
1615,2:31:33,,Kikuyo TSUZAKI,27 AUG 1989,JPN,2,,Riga (LAT),14 MAY 2017,1117
1615,2:31:33,,Cynthia JEROP,20 MAR 1995,KEN,2,,Venezia (ITA),27 OCT 2019,1117
1615,2:31:33,,Tabea THEMANN,22 MAR 1992,GER,27,,Berlin (GER),24 SEP 2023,1117
1615,2:31:33,,Lauren HEYES,21 APR 1990,GBR,47,,Valencia (ESP),03 DEC 2023,1117
1622,2:31:34,,Manami KAMITANIDA,21 DEC 1989,JPN,9,,Tokyo (JPN),23 FEB 2014,1117
1622,2:31:34,,Stacey Chepkemboi NDIWA,06 DEC 1992,KEN,20,,"Chicago, IL (USA)",08 OCT 2023,1117
1624,2:31:35,,Christine CLARK,10 OCT 1962,USA,19,,"Olympic Stadium, Sydney (AUS)",24 SEP 2000,1117
1624,2:31:35,,Yuka EZAKI,20 OCT 1981,JPN,5,,Osaka (JPN),28 JAN 2007,1117
1624,2:31:35,,Edna KIMAIYO,03 FEB 1988,KEN,3,,Valencia (ESP),16 NOV 2014,1117
1624,2:31:35,,Amber ZIMMERMAN,15 SEP 1992,USA,1,,"Philadelphia, PA (USA)",19 NOV 2022,1117
1624,2:31:35,,Federica SUGAMIELE,27 APR 1996,ITA,1,,Reggio Emilia (ITA),10 DEC 2023,1117
1629,2:31:36,,Alemitu LEMA,13 MAY 1997,ETH,2,,Mersin (TUR),03 DEC 2017,1117
1629,2:31:36,,Bracha DEUTSCH,29 AUG 1989,ISR,20,,Sevilla (ESP),20 FEB 2022,1117
1631,2:31:37,,Monika LÖVENICH,03 NOV 1955,FRG,2,,Frankfurt (GER),15 MAY 1983,1117
1631,2:31:37,,Tomoko SHIMOKAWA,21 NOV 1986,JPN,9,,Nagoya (JPN),11 MAR 2007,1117
1631,2:31:37,,Nina PODNEBESNOVA,06 MAR 1980,RUS,3,,Moskva (RUS),03 MAY 2010,1117
1631,2:31:37,,Genoveva Jelagat KIGEN,09 AUG 1980,KEN,3,,Torreón (MEX),04 MAR 2012,1117
1631,2:31:37,,Irina SERGEYEVA,26 DEC 1987,RUS,2,,Kazan (RUS),05 MAY 2019,1117
1636,2:31:38,,Eun-hee CHAE,20 JUL 1982,KOR,2,,Seoul (KOR),02 NOV 2003,1117
1636,2:31:38,,Adilo Saeda KEDIR,18 APR 1988,ETH,1,,Beirut (LBN),27 NOV 2011,1117
1636,2:31:38,,Mestawet TADESSE,19 JUL 1985,ETH,2,,Roma (ITA),02 APR 2017,1117
1636,2:31:38,,Susan JEROTICH,22 MAR 1987,KEN,1,,Kobe (JPN),18 NOV 2018,1117
1636,2:31:38,,Eunice NYAWIRA MUCHIRI,,KEN,2,,La Rochelle (FRA),24 NOV 2019,1117
1636,2:31:38,,Ayumi MORITA,17 APR 1996,JPN,10,,Tokyo (JPN),03 MAR 2024,1117
1642,2:31:39,,Aurica BUIA,16 FEB 1970,ROU,1,,Wien (AUT),14 APR 1996,1116
1642,2:31:39,,Viviany Anderson DE OLIVEIRA,17 JUL 1969,BRA,8,,Berlin (GER),28 SEP 1997,1116
1642,2:31:39,,Jon Kyong HUI,12 DEC 1986,PRK,4,,Pyongyang (PRK),14 APR 2013,1116
1642,2:31:39,,Yuko MIZUGUCHI,24 MAY 1985,JPN,13,,Nagoya (JPN),09 MAR 2014,1116
