Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
2101,2:33:34,,Priscila CHEPATIY,12 AUG 1990,KEN,1,,Wuxi (CHN),25 MAR 2018,1098
2101,2:33:34,,Jessie CARDIN,14 APR 1996,USA,13,,"Chicago, IL (USA)",09 OCT 2022,1098
2101,2:33:34,,Melissa JANSEN VAN VUUREN,18 JUL 1995,RSA,3,,Durban (RSA),12 MAR 2023,1098
2104,2:33:35,,Nadezhda GUNEROVA,1949,URS,1,,Moskva (URS),05 JUL 1986,1098
2104,2:33:35,,Marlene Teixeria FORTUNATO,08 JAN 1970,BRA,2,,Barcelona (ESP),18 MAR 2000,1098
2104,2:33:35,,Cha-Jong OK,,PRK,5,,Pyongyang (PRK),12 APR 2009,1098
2104,2:33:35,,Han Gum SON,,PRK,6,,Pyongyang (PRK),14 APR 2013,1098
2108,2:33:36,,Laurie BINDER,10 AUG 1947,USA,2,,"Houston, TX (USA)",16 JAN 1983,1097
2108,2:33:36,,Alina VOICULESCU,01 FEB 1985,ROU,6,,Rotterdam (NED),11 APR 2010,1097
2108,2:33:36,,Pak-Jong NYO,10 JUL 1990,PRK,5,,Pyongyang (PRK),08 APR 2012,1097
2108,2:33:36,,Suk-jeong LEE,29 SEP 1991,KOR,2,,Seoul (KOR),03 NOV 2013,1097
2112,2:33:37,,Ryang GUM HWA,27 OCT 1980,PRK,3,,Pyongyang (PRK),10 APR 2005,1097
2113,2:33:38,,Lynda BAIN,20 JUN 1956,GBR,7,,London (GBR),21 APR 1985,1097
2113,2:33:38,,Patrizia RITONDO,18 SEP 1974,ITA,1,,Carpi (ITA),14 OCT 2001,1097
2113,2:33:38,,Kaori AKAGAWA,24 JAN 1982,JPN,1,,Otwara (JPN),23 NOV 2011,1097
2113,2:33:38,,Fanose WAKTOLA,1990,ETH,6,,Zhengzhou (CHN),26 MAR 2017,1097
2117,2:33:39,,Annette FALKSON,08 OCT 1957,RSA,1,,Cape Town (RSA),30 APR 1988,1097
2117,2:33:39,,Megumi SETOGUCHI,14 JUL 1968,JPN,3,,Sapporo (JPN),27 AUG 1995,1097
2117,2:33:39,,Gulshanoi SATAROVA,01 SEP 1992,KGZ,9,,Enschede (NED),21 APR 2024,1097
2120,2:33:40,,Maria POLYZOU,10 NOV 1968,GRE,13,,"Népstadion, Budapest (HUN)",23 AUG 1998,1097
2120,2:33:40,,Aki NEGORO,10 SEP 1981,JPN,11,,Nagoya (JPN),09 MAR 2003,1097
2120,2:33:40,,Lim-Yon HUI,,PRK,10,,Pyongyang (PRK),08 APR 2007,1097
2120,2:33:40,,Christina BUS HOLTH,22 APR 1980,NOR,12,,Berlin (GER),25 SEP 2011,1097
2120,2:33:40,,Jip VASTENBURG,21 MAR 1994,NED,16,,Sevilla (ESP),23 FEB 2020,1097
2125,2:33:41,,Janice ETTLE,03 DEC 1958,USA,6,,"Olympia, WA (USA)",12 MAY 1984,1097
2125,2:33:41,,Christel ROGIERS,09 MAR 1960,BEL,16,,London (GBR),21 APR 1991,1097
2125,2:33:41,,Sue REINSFORD,24 MAR 1969,GBR,3,,Rotterdam (NED),16 APR 2000,1097
