Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1800,2:32:21,,Yumiko OKAMOTO,28 MAR 1978,JPN,9,,Tokyo (JPN),21 NOV 2004,1110
1800,2:32:21,,Susanne PUMPER,01 SEP 1970,AUT,4,,Wien (AUT),07 MAY 2006,1110
1800,2:32:21,,Sophia CHESIRE,,KEN,2,,La Rochelle (FRA),26 NOV 2017,1110
1804,2:32:22,,Olga MARKOVA,06 AUG 1968,RUS,10,,Osaka (JPN),30 JAN 1994,1109
1804,2:32:22,,Krystyna KUTA,21 SEP 1967,POL,3,,Hamburg (GER),27 APR 1997,1109
1804,2:32:22,,Ping CHEN,,CHN,6,,Beijing (CHN),19 OCT 2003,1109
1804,2:32:22,,Maria CASANUEVA,04 FEB 1981,ESP,4,,Hamburg (GER),23 APR 2017,1109
1808,2:32:23,,Gabriele MARTINS,01 JUN 1962,GDR,2,,Roma (ITA),15 SEP 1985,1109
1808,2:32:23,,Jocelyne VILLETON,17 SEP 1954,FRA,2,,Paris (FRA),04 MAY 1986,1109
1808,2:32:23,,Miki IGARASHI,22 AUG 1971,JPN,3,,Nagoya (JPN),12 MAR 1995,1109
1808,2:32:23,,Erika Alejandra DE LA FUENTE,04 JAN 1976,CHI,5,,Rotterdam (NED),18 APR 1999,1109
1808,2:32:23,,Lihua GONG,10 MAY 1993,CHN,3,,Beijing (CHN),19 OCT 2014,1109
1808,2:32:23,,Joana Vanessa CARVALHO,04 NOV 1991,POR,2,,Aveiro (POR),28 APR 2024,1109
1814,2:32:24,,Yvonne Danson TAN,22 MAY 1959,SGP,3,,Victoria (CAN),22 AUG 1994,1109
1814,2:32:24,,Jang-Hyon OK,,PRK,7,,Pyongyang (PRK),08 APR 2007,1109
1814,2:32:24,,Leah JERUTO,,KEN,2,,Zheng-Kai (CHN),31 MAR 2024,1109
1817,2:32:25,,Elanie VAN BLUNK,11 SEP 1964,USA,3,,"Chicago, IL (USA)",30 OCT 1994,1109
1817,2:32:25,,Rie UCHIDA,02 AUG 1995,JPN,20,,Nagoya (JPN),13 MAR 2016,1109
1817,2:32:25,,Tara PALM,28 JUL 1985,AUS,8,,Osaka (JPN),25 FEB 2024,1109
1820,2:32:26,,Graziella STRIULI,08 MAR 1949,ITA,1,,Cesano Boscone (ITA),22 NOV 1987,1109
1820,2:32:26,,Junko TSUKAMOTO,04 NOV 1973,JPN,9,,Tokyo (JPN),19 NOV 1995,1109
1820,2:32:26,,Chiharu SATO,13 APR 1970,JPN,11,,Osaka (JPN),26 JAN 1997,1109
1820,2:32:26,,Frashiah WAITHAKA,1978,KEN,1,,Barcelona (ESP),16 MAR 2014,1109
1820,2:32:26,,Ayano IKEUCHI,29 OCT 1994,JPN,10,,Seoul (KOR),17 MAR 2024,1109
1825,2:32:27,,Qinghuan WANG,22 DEC 1966,CHN,3,,Tianjin (CHN),29 MAR 1987,1109
1825,2:32:27,,Kelly KEANE,25 AUG 1972,USA,1,,"Houston, TX (USA)",16 JAN 2005,1109
1825,2:32:27,,Meseret ALEMU,,ETH,7,,Dublin (IRL),27 OCT 2019,1109
1828,2:32:28,,Roman GEBREGESSESE,1982,ETH,2,,Barcelona (ESP),07 MAR 2010,1108
1828,2:32:28,,Abnet YESHANBEL SIMEGN,1986,ETH,1,,"Des Moines, IA (USA)",19 OCT 2014,1108
1830,2:32:29,,Marja WOKKE,21 MAR 1957,NED,2,,"Eugene, OR (USA)",07 SEP 1980,1108
1830,2:32:29,,Kellie CATHEY,24 NOV 1961,USA,6,,"Chicago, IL (USA)",30 OCT 1988,1108
1830,2:32:29,,Yuliya VINOKUROVA,17 JUN 1972,RUS,3,,Frankfurt (GER),31 OCT 2004,1108
1830,2:32:29,,Sayo NOMURA,18 APR 1989,JPN,9,,Osaka (JPN),26 JAN 2014,1108
1834,2:32:30,,Renata WALENDZIAK,18 JAN 1950,POL,1,,Debno (POL),06 APR 1986,1108
1834,2:32:30,,Irina YAGODINA,24 APR 1964,URS,3,,Tallinn (EST),26 JUN 1988,1108
1834,2:32:30,,Ningning MA,20 SEP 1976,CHN,5,,Beijing (CHN),30 OCT 1994,1108
1834,2:32:30,,Mayumi KUMAGAI,22 MAR 1968,JPN,6,,Beijing (CHN),09 OCT 1999,1108
1838,2:32:31,,Emily CHEPKORIR,07 JUL 1985,KEN,3,,Nairobi (KEN),30 OCT 2011,1108
1839,2:32:33,,Romy SPITZMÜLLER,19 SEP 1981,GER,1,,Bonn (GER),04 APR 2004,1108
1839,2:32:33,,Tanith MAXWELL,02 JUN 1976,RSA,8,,Berlin (GER),26 SEP 2010,1108
1841,2:32:34,,Yelena SIPATOVA,07 JUN 1955,URS,9,,Mogilyov (URS),07 JUN 1987,1107
1841,2:32:34,,Sadako HAYAKAWA,10 APR 1967,JPN,4,,Nagoya (JPN),01 MAR 1992,1107
1841,2:32:34,,Tigist ABIDI,09 MAY 1986,ETH,3,,Zürich (SUI),07 APR 2013,1107
1844,2:32:35,,Ursula JEITZINER,14 MAR 1972,SUI,5,,Paris (FRA),06 APR 1997,1107
1844,2:32:35,,Kim JONG HYANG,07 FEB 1987,PRK,8,,Pyongyang (PRK),08 APR 2007,1107
1844,2:32:35,,Silvia WEISSTEINER,13 JUL 1979,ITA,1,,Torino (ITA),04 OCT 2015,1107
1844,2:32:35,,Shaoqing GENG,29 MAY 1993,CHN,2,,Zhengzhou (CHN),27 MAR 2016,1107
1844,2:32:35,,Tori PARKINSON,,USA,9,,"Duluth, MN (USA)",17 JUN 2023,1107
1849,2:32:36,,Bente MOE,02 DEC 1960,NOR,1,,Frankfurt (GER),25 OCT 1992,1107
1849,2:32:36,,Selina CHIRCHIR,08 AUG 1968,KEN,3,,"Houston, TX (USA)",21 JAN 1996,1107
1849,2:32:36,,Asami OBI,22 MAR 1976,JPN,8,,Beijing (CHN),16 OCT 2005,1107
1849,2:32:36,,Sanae ACHAHBAR,14 MAR 1985,MAR,4,,Marrakech (MAR),29 JAN 2017,1107
1853,2:32:37,,Susan HOBSON,13 MAR 1958,AUS,10,,Osaka (JPN),30 JAN 2000,1107
1853,2:32:37,,Jeannette FABER,28 APR 1982,USA,1,,St. Paul (USA),07 OCT 2012,1107
1853,2:32:37,,Melissa WHITE,15 APR 1982,USA,8,,"Chicago, IL (USA)",13 OCT 2013,1107
1853,2:32:37,,Sarah PORTER,22 AUG 1989,USA,6,,"Chicago, IL (USA)",07 OCT 2018,1107
1853,2:32:37,,Jhoselyn CAMARGO,21 JUL 1996,BOL,15,,Amsterdam (NED),15 OCT 2023,1107
1858,2:32:38,,Daria NAUER,21 MAY 1966,SUI,8,,Berlin (GER),26 SEP 1999,1107
1858,2:32:38,,Estela NAVASCUES,03 FEB 1981,ESP,1,,San Sebastián (ESP),24 NOV 2013,1107
1860,2:32:39,,Sachie YAMADA,10 APR 1972,JPN,13,,Osaka (JPN),28 JAN 1996,1107
1860,2:32:39,,Anna PICHRTOVÁ,19 MAY 1973,CZE,2,,"Duluth, MN (USA)",22 JUN 2002,1107
1860,2:32:39,,Kaoru NISHI,28 NOV 1983,JPN,9,,Nagoya (JPN),13 MAR 2005,1107
1860,2:32:39,,Flora KANDIE,29 SEP 1978,KEN,4,,Roma (ITA),16 MAR 2008,1107
1860,2:32:39,,Midred Kiminy CHEBOSIS,23 DEC 1985,KEN,3,,Zhengzhou (CHN),31 MAR 2013,1107
1860,2:32:39,,Laila SOUFYANE,04 AUG 1983,ITA,7,,Valencia (ESP),15 NOV 2015,1107
1860,2:32:39,,Sydney DEVORE,27 SEP 1991,USA,1,,"Pittsburgh, PA (USA)",06 MAY 2018,1107
1867,2:32:40,,Katy LAETSCH,19 OCT 1956,USA,1,,"Sacramento, CA (USA)",02 DEC 1984,1106
1867,2:32:40,,Mi-kyung KIM,19 FEB 1967,KOR,6,,Seoul (KOR),11 APR 1987,1106
1867,2:32:40,,Wei LI,29 JUN 1972,CHN,13,,Tianjin (CHN),04 APR 1993,1106
1867,2:32:40,,Jackie FAIRWEATHER,10 NOV 1967,AUS,9,,Nagoya (JPN),14 MAR 2004,1106
1867,2:32:40,,Emma STALLARD,04 APR 1970,GBR,7,,Frankfurt (GER),26 OCT 2014,1106
1867,2:32:40,,Alexis ZEIS,,USA,16,,"Chandler, AZ (USA)",20 DEC 2020,1106
1867,2:32:40,,Jana SOETHOUT,28 DEC 1989,GER,29,,Berlin (GER),24 SEP 2023,1106
1867,2:32:40,,Adela HONORATO,08 DEC 2004,MEX,35,,Sevilla (ESP),18 FEB 2024,1106
1867,2:32:40,,Heather SEAWARD,1990,GBR,36,,Sevilla (ESP),18 FEB 2024,1106
1876,2:32:41,,Chun-Yu TSAO,05 NOV 1991,TPE,4,,Taipei City (TPE),20 DEC 2020,1106
