Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1900,2:32:48,,Nina CHYDENIUS,28 JAN 1990,FIN,24,,Sevilla (ESP),20 FEB 2022,1105
1900,2:32:48,,Whitney MACON,06 FEB 1993,USA,10,,Rotterdam (NED),10 APR 2022,1105
1900,2:32:48,,Mayu HIRATA,16 FEB 2001,JPN,21,,Nagoya (JPN),12 MAR 2023,1105
1900,2:32:48,,Katie KELLNER,04 AUG 1991,USA,31,,Berlin (GER),24 SEP 2023,1105
1900,2:32:48,,Etsegenet BELETE,12 NOV 1997,ETH,2,,Torino (ITA),05 NOV 2023,1105
1906,2:32:49,,Nelly GLAUSER,27 JAN 1966,SUI,4,,Rotterdam (NED),28 APR 1996,1105
1906,2:32:49,,Yumi SATO,22 DEC 1976,JPN,5,,Osaka (JPN),29 JAN 2012,1105
1906,2:32:49,,Kyung-hee LIM,16 NOV 1982,KOR,3,,Daegu (KOR),08 APR 2012,1105
1909,2:32:50,,Svetlana PRÉTOT,03 JUL 1971,RUS,2,,"San Diego, CA (USA)",03 JUN 2007,1105
1909,2:32:50,,Chizuru IDETA,15 NOV 1986,JPN,14,,Nagoya (JPN),10 MAR 2013,1105
1909,2:32:50,,Vaida ŽŪSINAITĖ-NEKRIOŠIENĖ,13 JAN 1988,LTU,4,,Hannover (GER),10 APR 2016,1105
1912,2:32:51,,Mi-ok LEE,10 MAR 1968,KOR,15,,"Olympic Stadium, Seoul (KOR)",23 SEP 1988,1105
1912,2:32:51,,Zoila GOMEZ,07 JUN 1979,USA,11,,"Chicago, IL (USA)",10 OCT 2010,1105
1912,2:32:51,,Rina YAMAZAKI,06 MAY 1988,JPN,6,,Tokyo (JPN),27 FEB 2011,1105
1912,2:32:51,,Kaori OYAMA,06 DEC 1982,JPN,11,,Tokyo (JPN),26 FEB 2012,1105
1912,2:32:51,,Lizzie LEE,22 MAY 1980,IRL,17,,Berlin (GER),27 SEP 2015,1105
1917,2:32:52,,Yu-ying LIU,1972,CHN,14,,Tianjin (CHN),04 APR 1993,1105
1917,2:32:52,,Courtney MCGUIRE,09 OCT 1999,IRL,3,,Dublin (IRL),30 OCT 2022,1105
1919,2:32:53,,Kersti JAKOBSEN,15 FEB 1956,DEN,6,,London (GBR),20 APR 1986,1104
1919,2:32:53,,Maureen ROBEN,31 AUG 1955,USA,4,,St. Paul (USA),02 OCT 1988,1104
1919,2:32:53,,Olga YUDENKOVA,07 JAN 1967,BLR,1,,Hannover (GER),05 APR 1998,1104
1919,2:32:53,,Marta FERNÁNDEZ DE CASTRO,19 AUG 1971,ESP,7,,Rotterdam (NED),22 APR 2001,1104
1919,2:32:53,,Yadne ALEMAYEHU,01 DEC 1999,ETH,5,,Hangzhou (CHN),17 DEC 2023,1104
1924,2:32:54,,Irina RUBAN,04 AUG 1962,URS,3,,Uzhgorod (URS),07 OCT 1986,1104
1924,2:32:54,,Wenrong ZHENG,26 NOV 1988,CHN,7,,Dalian (CHN),30 APR 2011,1104
1924,2:32:54,,Kathya GARCIA,03 DEC 1987,MEX,7,,"Houston, TX (USA)",16 JAN 2022,1104
1927,2:32:55,,Rita MARCHISIO,13 FEB 1950,ITA,1,,Osaka (JPN),24 JAN 1982,1104
1927,2:32:55,,Chun-yan BAI,1966,CHN,5,,Tianjin (CHN),29 MAR 1987,1104
1927,2:32:55,,Xiu-ying CHEN,13 JAN 1973,CHN,15,,Tianjin (CHN),04 APR 1993,1104
1927,2:32:55,,Soon-duk KANG,29 OCT 1974,KOR,3,,Kyongju (KOR),24 MAR 1996,1104
1927,2:32:55,,Yelena PARAMONOVA,28 JUN 1962,RUS,1,,"Austin, TX (USA)",18 FEB 2001,1104
1927,2:32:55,,Adriana Rodica CHIRITA,28 OCT 1976,ROU,7,,Hamburg (GER),27 APR 2003,1104
1927,2:32:55,,Emily HARRISON,13 FEB 1986,USA,3,,St. Paul (USA),02 OCT 2011,1104
1934,2:32:56,,May ALLISON,25 OCT 1964,CAN,2,,"Cleveland, OH (USA)",05 MAY 1996,1104
1934,2:32:56,,Hae-jin BAE,15 MAR 1979,KOR,4,,Seoul (KOR),02 NOV 2003,1104
1934,2:32:56,,Nicole STEVENSON,13 SEP 1973,CAN,2,,"Houston, TX (USA)",15 JAN 2006,1104
1934,2:32:56,,Anália ROSA,28 FEB 1976,POR,10,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1104
1938,2:32:57,,Alba MILANA,17 MAR 1959,ITA,1,,Roma (ITA),24 APR 1983,1104
1938,2:32:57,,Ellen ROCHEFORT,22 NOV 1954,CAN,2,,Montréal (CAN),27 SEP 1987,1104
1938,2:32:57,,Sissel GROTTENBERG,17 AUG 1956,NOR,3,,Berlin (GER),04 OCT 1987,1104
