Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1098,2:28:36,Branna MACDOUGALL,Women,Marathon,18 AUG 1998,CAN,5,"Duluth, MN (USA)",18 JUN 2022
1102,2:28:37,Esther CHEMTAI,Women,Marathon,04 JUN 1988,KEN,2,Rabat (MAR),13 MAR 2016
1102,2:28:37,Kokob Tesfagaber SOLOMON,Women,Marathon,04 JUN 1994,ERI,12,Milano (ITA),16 MAY 2021
1102,2:28:37,Ikram RHARSALLA,Women,Marathon,02 DEC 1995,ESP,11,Sevilla (ESP),23 FEB 2025
1105,2:28:38,Sally-Ann HALES,Women,Marathon,17 JUL 1961,GBR,3,London (GBR),21 APR 1985
1105,2:28:38,Tsega GELAW RETA,Women,Marathon,09 OCT 1990,ETH,3,Istanbul (TUR),16 OCT 2011
1107,2:28:39,Kathy BUTLER,Women,Marathon,22 OCT 1973,GBR,9,"Chicago, IL (USA)",22 OCT 2006
1107,2:28:39,Juan SUN,Women,Marathon,20 NOV 1985,CHN,5,Beijing (CHN),25 NOV 2012
1107,2:28:39,Lisa HAHNER,Women,Marathon,20 NOV 1989,GER,6,Frankfurt (GER),25 OCT 2015
1107,2:28:39,Loice KIPTOO,Women,Marathon,1986,KEN,3,Daegu (KOR),02 APR 2017
1107,2:28:39,Rigbe Habteslasie TESFAMARIAM,Women,Marathon,01 JAN 1996,ERI,12,Sevilla (ESP),23 FEB 2025
1107,2:28:39,Yuna WADA,Women,Marathon,07 AUG 1999,JPN,14,Nagoya (JPN),09 MAR 2025
1113,2:28:40,Raisa SMEKHNOVA,Women,Marathon,16 SEP 1950,URS,2,Huy (BEL),30 APR 1988
1114,2:28:41,Yanrong WANG,Women,Marathon,16 OCT 1976,CHN,2,Dalian (CHN),26 OCT 1997
1114,2:28:41,Amy DAVIS-GREEN,Women,Marathon,15 FEB 1997,USA,16,"Chicago, IL (USA)",13 OCT 2024
1116,2:28:42,Marian SUTTON,Women,Marathon,07 OCT 1963,GBR,7,"Chicago, IL (USA)",24 OCT 1999
1116,2:28:42,Iuliia ANDREEVA,Women,Marathon,07 MAR 1981,KGZ,1,Nur-Sultan (KAZ),08 SEP 2019
1116,2:28:42,Rebecca LONEDO,Women,Marathon,05 DEC 1996,ITA,8,Hamburg (GER),27 APR 2025
1119,2:28:43,Stefanija STATKUVIENĖ,Women,Marathon,05 SEP 1962,LTU,2,Reims (FRA),22 OCT 1995
1119,2:28:43,Alena SAMOKHVALOVA,Women,Marathon,21 NOV 1980,RUS,10,Frankfurt (GER),30 OCT 2011
1119,2:28:43,Paige STONER,Women,Marathon,31 JAN 1996,USA,7,"Chandler, AZ (USA)",20 DEC 2020
1122,2:28:44,Natalya PUCHKOVA,Women,Marathon,28 JAN 1987,RUS,5,Osaka (JPN),26 JAN 2014
1122,2:28:44,Etaferahu WODAJ,Women,Marathon,05 AUG 1989,ETH,3,Ottawa (CAN),26 MAY 2019
