Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
300,2:23:22,Salina Jebet KOSGEI,Women,Marathon,16 NOV 1976,KEN,2,Berlin (GER),24 SEP 2006
300,2:23:22,Caroline ROTICH,Women,Marathon,13 MAY 1984,KEN,4,"Chicago, IL (USA)",07 OCT 2012
303,2:23:23,Risa SHIGETOMO,Women,Marathon,29 AUG 1987,JPN,1,Osaka (JPN),29 JAN 2012
303,2:23:23,Viola CHEPNGENO,Women,Marathon,03 FEB 1998,KEN,4,Cape Town (RSA),20 OCT 2024
305,2:23:24,Sara VAUGHN,Women,Marathon,16 MAY 1986,USA,10,"Chicago, IL (USA)",08 OCT 2023
306,2:23:26,Hiromi OMINAMI,Women,Marathon,15 NOV 1975,JPN,2,Berlin (GER),26 SEP 2004
306,2:23:26,Meseret MENGISTU,Women,Marathon,06 MAR 1990,ETH,1,Paris (FRA),12 APR 2015
308,2:23:27,Xue BAI,Women,Marathon,13 DEC 1988,CHN,2,Xiamen (CHN),05 JAN 2008
309,2:23:28,Margaret AGAI,Women,Marathon,10 JUN 1988,KEN,1,Daegu (KOR),14 APR 2013
309,2:23:28,Shasho INSERMU,Women,Marathon,16 SEP 1993,ETH,2,Amsterdam (NED),21 OCT 2018
311,2:23:29,Rosa MOTA,Women,Marathon,29 JUN 1958,POR,3,"Chicago, IL (USA)",20 OCT 1985
311,2:23:29,Tatyana PETROVA,Women,Marathon,08 APR 1983,RUS,3,"Olympic Stadium, London (GBR)",05 AUG 2012
311,2:23:29,Askale MERACHI,Women,Marathon,04 JAN 1987,ETH,1,"Houston, TX (USA)",19 JAN 2020
314,2:23:30,Mari OZAKI,Women,Marathon,16 JUL 1975,JPN,5,Osaka (JPN),26 JAN 2003
314,2:23:30,Derartu TULU,Women,Marathon,21 MAR 1972,ETH,4,"Olympiastadion, Helsinki (FIN)",14 AUG 2005
314,2:23:30,Yoshimi OZAKI,Women,Marathon,01 JUL 1981,JPN,1,Tokyo (JPN),16 NOV 2008
314,2:23:30,Racheal MUTGAA,Women,Marathon,12 DEC 1988,KEN,5,Toronto (CAN),20 OCT 2019
314,2:23:30,Malindi ELMORE,Women,Marathon,13 MAR 1980,CAN,13,Berlin (GER),24 SEP 2023
314,2:23:30,Almaz KEBEBE,Women,Marathon,,ETH,8,Dubai (UAE),12 JAN 2025
320,2:23:31,Esther Wanjiru MAINA,Women,Marathon,27 MAR 1977,KEN,3,Osaka (JPN),30 JAN 2000
320,2:23:31,Lindsay FLANAGAN,Women,Marathon,24 JAN 1991,USA,9,"Chicago, IL (USA)",13 OCT 2024
322,2:23:32,Olena SHURHNO,Women,Marathon,08 JAN 1978,UKR,3,Berlin (GER),30 SEP 2012
323,2:23:33,Abebech AFEWORK,Women,Marathon,11 DEC 1990,ETH,8,Dubai (UAE),23 JAN 2015
323,2:23:33,Meseret DEFAR,Women,Marathon,19 NOV 1983,ETH,4,Nagoya (JPN),10 MAR 2019
323,2:23:33,Sofia ASSEFA,Women,Marathon,14 NOV 1987,ETH,8,Amsterdam (NED),15 OCT 2023
326,2:23:34,Ryoko KIZAKI,Women,Marathon,21 JUN 1985,JPN,1,Nagoya (JPN),10 MAR 2013
326,2:23:34,Dibabe KUMA,Women,Marathon,14 SEP 1996,ETH,3,Ljubljana (SLO),28 OCT 2018
328,2:23:37,Min LIU,Women,Marathon,29 NOV 1983,CHN,1,Beijing (CHN),14 OCT 2001
328,2:23:37,Tinbit GIDEY,Women,Marathon,17 SEP 1989,ETH,3,Valencia (ESP),02 DEC 2018
330,2:23:38,Bethelhem MOGES,Women,Marathon,03 MAY 1991,ETH,3,Milano (ITA),16 MAY 2021
330,2:23:38,Manon TRAPP,Women,Marathon,01 AUG 2000,FRA,2,Sevilla (ESP),23 FEB 2025
332,2:23:39,Kiros REDA,Women,Marathon,13 JAN 1988,ETH,2,Dubai (UAE),25 JAN 2013
332,2:23:39,Bontu BEKELE,Women,Marathon,11 SEP 1989,ETH,2,Sevilla (ESP),23 FEB 2020
332,2:23:39,Adawork ABERTA,Women,Marathon,28 NOV 1996,ETH,7,Sevilla (ESP),20 FEB 2022
332,2:23:39,Bojana BJELJAC,Women,Marathon,10 APR 1989,CRO,14,Valencia (ESP),04 DEC 2022
332,2:23:39,Cynthia CHEMWENO,Women,Marathon,17 SEP 1996,KEN,5,Hamburg (GER),27 APR 2025
337,2:23:40,Betty Wilson LEMPUS,Women,Marathon,09 JUL 1991,KEN,3,Shanghai (CHN),18 NOV 2018
337,2:23:40,Emily Chepkemoi ARUSIO,Women,Marathon,01 APR 1999,KEN,5,Shanghai (CHN),26 NOV 2023
339,2:23:41,Isabellah ANDERSSON,Women,Marathon,12 NOV 1980,SWE,3,Dubai (UAE),21 JAN 2011
340,2:23:42,Stacey Chepkemboi NDIWA,Women,Marathon,06 DEC 1992,KEN,10,"Chicago, IL (USA)",13 OCT 2024
341,2:23:43,Takami OMINAMI,Women,Marathon,15 NOV 1975,JPN,1,Rotterdam (NED),21 APR 2002
341,2:23:43,Cynthia KOSGEI,Women,Marathon,12 DEC 1993,KEN,3,Sevilla (ESP),23 FEB 2025
343,2:23:44,Dire TUNE,Women,Marathon,19 JUN 1985,ETH,2,Frankfurt (GER),31 OCT 2010
343,2:23:44,Valeria STRANEO,Women,Marathon,05 APR 1976,ITA,2,Rotterdam (NED),15 APR 2012
343,2:23:44,Moira STEWARTOVÁ,Women,Marathon,09 JUN 1995,CZE,9,Valencia (ESP),01 DEC 2024
346,2:23:45,Risper CHEBET,Women,Marathon,06 JUN 1992,KEN,4,Milano (ITA),16 MAY 2021
346,2:23:45,Joan KIPYATICH,Women,Marathon,15 SEP 1998,KEN,2,Doha (QAT),16 FEB 2024
348,2:23:46,Giovanna EPIS,Women,Marathon,11 OCT 1988,ITA,6,Hamburg (GER),23 APR 2023
348,2:23:46,Fionnuala MCCORMACK,Women,Marathon,24 SEP 1984,IRL,11,Valencia (ESP),01 DEC 2024
350,2:23:47,Maura VICECONTE,Women,Marathon,03 OCT 1967,ITA,1,Wien (AUT),21 MAY 2000
350,2:23:47,Mao KIYOTA,Women,Marathon,12 SEP 1993,JPN,3,Nagoya (JPN),12 MAR 2017
350,2:23:47,Domenika MAYER,Women,Marathon,09 OCT 1990,GER,14,Berlin (GER),24 SEP 2023
353,2:23:48,Yumiko HARA,Women,Marathon,09 JAN 1982,JPN,1,Osaka (JPN),28 JAN 2007
354,2:23:49,Sifan MELAKU,Women,Marathon,05 FEB 2000,ETH,3,Sevilla (ESP),23 FEB 2020
355,2:23:51,Lisa MARTIN,Women,Marathon,12 MAY 1960,AUS,1,Osaka (JPN),31 JAN 1988
355,2:23:51,Natosha ROGERS,Women,Marathon,07 MAY 1991,USA,7,Nagoya (JPN),09 MAR 2025
357,2:23:52,Albina MAYOROVA,Women,Marathon,16 MAY 1977,RUS,1,Nagoya (JPN),11 MAR 2012
357,2:23:52,Reia IWADE,Women,Marathon,08 DEC 1994,JPN,5,Nagoya (JPN),10 MAR 2019
357,2:23:52,Margaret Wangari MURIUKI,Women,Marathon,21 MAR 1986,KEN,2,Praha (CZE),07 MAY 2023
357,2:23:52,Volha MAZURONAK,Women,Marathon,14 APR 1989,BLR,1,"Two Harbors to Duluth,, Duluth, MN (USA)",22 JUN 2024
361,2:23:53,Teyba ERKESSO,Women,Marathon,30 OCT 1982,ETH,1,"Houston, TX (USA)",17 JAN 2010
361,2:23:53,Meseret TOLWAK,Women,Marathon,08 NOV 1993,ETH,6,Dubai (UAE),12 FEB 2023
363,2:23:54,Agnes KIPROP,Women,Marathon,14 JAN 1980,KEN,2,Frankfurt (GER),30 OCT 2011
364,2:23:56,Anna DIBABA,Women,Marathon,26 OCT 1999,ETH,10,Amsterdam (NED),20 OCT 2024
365,2:23:57,Xiaolin ZHU,Women,Marathon,20 FEB 1984,CHN,3,Beijing (CHN),13 OCT 2002
366,2:23:58,Mercy KWAMBAI,Women,Marathon,05 APR 1988,KEN,4,Xiamen (CHN),05 JAN 2025
367,2:23:59,Monica JEPKOECH,Women,Marathon,01 JAN 1983,KEN,6,Nagoya (JPN),10 MAR 2019
368,2:24:00,Sara DOSSENA,Women,Marathon,22 NOV 1984,ITA,7,Nagoya (JPN),10 MAR 2019
369,2:24:02,Yukari ABE,Women,Marathon,21 AUG 1989,JPN,5,Osaka (JPN),30 JAN 2022
369,2:24:02,Dalila ABDULKADIR,Women,Marathon,27 JUN 1998,BRN,5,Sevilla (ESP),18 FEB 2024
369,2:24:02,Gojjam ENYEW,Women,Marathon,2005,ETH,7,Barcelona (ESP),16 MAR 2025
372,2:24:03,Wude AYALEW,Women,Marathon,04 JUL 1987,ETH,2,Abu Dhabi (UAE),06 DEC 2019
372,2:24:03,Gerda STEYN,Women,Marathon,03 MAR 1990,RSA,11,Valencia (ESP),03 DEC 2023
374,2:24:04,Kebebush YISMA,Women,Marathon,31 OCT 1998,ETH,9,Dubai (UAE),12 JAN 2025
375,2:24:05,Fatima Azzahraa OUHADDOU NAFIE,Women,Marathon,30 AUG 1993,ESP,12,Valencia (ESP),01 DEC 2024
375,2:24:05,Kaoutar BOULAID,Women,Marathon,10 OCT 1989,MAR,4,Sevilla (ESP),23 FEB 2025
377,2:24:06,Yeshi ESAYIAS,Women,Marathon,28 DEC 1985,ETH,6,Frankfurt (GER),27 OCT 2013
378,2:24:07,Junxia WANG,Women,Marathon,09 JAN 1973,CHN,1,Tianjin (CHN),04 APR 1993
378,2:24:07,Adanech ANBESA,Women,Marathon,23 JAN 1998,ETH,4,Paris (FRA),03 APR 2022
380,2:24:08,Adriana FERNÁNDEZ MIRANDA,Women,Marathon,04 APR 1971,MEX,2,London (GBR),18 APR 1999
381,2:24:09,Yukiko AKABA,Women,Marathon,18 OCT 1979,JPN,5,London (GBR),17 APR 2011
381,2:24:09,Kebebush Haile LEMA,Women,Marathon,13 APR 1986,ETH,1,Shanghai (CHN),04 DEC 2011
381,2:24:09,Yenenesh TILAHUN DINKESA,Women,Marathon,22 SEP 1994,ETH,5,Paris (FRA),03 APR 2022
384,2:24:11,Joyce CHEPKIRUI,Women,Marathon,20 AUG 1988,KEN,1,Amsterdam (NED),18 OCT 2015
385,2:24:12,Netsanet ACHAMO,Women,Marathon,14 DEC 1987,ETH,1,Hamburg (GER),29 APR 2012
385,2:24:12,Mercyline CHELANGAT,Women,Marathon,17 DEC 1997,UGA,2,Enschede (NED),16 APR 2023
385,2:24:12,Fatima Ezzahra GARDADI,Women,Marathon,20 MAR 1992,MAR,2,Xiamen (CHN),07 JAN 2024
385,2:24:12,Méline ROLLIN,Women,Marathon,17 JUN 1998,FRA,6,Sevilla (ESP),18 FEB 2024
389,2:24:13,Asimarech NAGA,Women,Marathon,08 JUN 1999,ETH,1,Dublin (IRL),27 OCT 2024
390,2:24:14,Irina TIMOFEYEVA,Women,Marathon,05 APR 1970,RUS,1,Hamburg (GER),27 APR 2008
390,2:24:14,Josephine CHEPKOECH,Women,Marathon,21 APR 1989,KEN,4,Sevilla (ESP),23 FEB 2020
390,2:24:14,Betty Chepkemoi KIBET,Women,Marathon,03 APR 2000,KEN,1,Wien (AUT),06 APR 2025
393,2:24:16,Fatuma SADO,Women,Marathon,11 OCT 1991,ETH,3,Toronto (CAN),18 OCT 2015
393,2:24:16,Zenebu BIHONEGN,Women,Marathon,29 OCT 1998,ETH,7,Hamburg (GER),23 APR 2023
395,2:24:18,Florencia BORELLI,Women,Marathon,30 OCT 1992,ARG,7,Sevilla (ESP),18 FEB 2024
