Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
100,2:20:18,Vivian KIPLAGAT,Women,Marathon,09 NOV 1991,KEN,1,Milano (ITA),03 APR 2022
102,2:20:20,Aberu AYANA,Women,Marathon,17 SEP 2000,ETH,4,Berlin (GER),29 SEP 2024
103,2:20:22,Mary Wacera NGUGI,Women,Marathon,17 DEC 1988,KEN,7,London (GBR),02 OCT 2022
103,2:20:22,Buze DIRIBA,Women,Marathon,09 FEB 1994,ETH,4,"Chicago, IL (USA)",13 OCT 2024
105,2:20:29,Mao ICHIYAMA,Women,Marathon,29 MAY 1997,JPN,1,Nagoya (JPN),08 MAR 2020
105,2:20:29,Nazret WELDU,Women,Marathon,01 JAN 1990,ERI,4,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022
105,2:20:29,Jackline CHELAL,Women,Marathon,1992,KEN,1,Sevilla (ESP),19 FEB 2023
108,2:20:30,Bezunesh BEKELE,Women,Marathon,29 JAN 1983,ETH,4,Dubai (UAE),27 JAN 2012
108,2:20:30,Aberu KEBEDE,Women,Marathon,12 SEP 1986,ETH,1,Berlin (GER),30 SEP 2012
108,2:20:30,Gladys CHESIR,Women,Marathon,20 FEB 1993,KEN,4,Amsterdam (NED),20 OCT 2024
111,2:20:31,Ai HOSODA,Women,Marathon,27 NOV 1995,JPN,5,Berlin (GER),29 SEP 2024
112,2:20:32,Sara HALL,Women,Marathon,15 APR 1983,USA,1,"Chandler, AZ (USA)",20 DEC 2020
112,2:20:32,Shitaye ESHETE,Women,Marathon,21 MAY 1990,BRN,4,Hamburg (GER),27 APR 2025
114,2:20:33,Evaline CHIRCHIR,Women,Marathon,02 FEB 1998,KEN,4,Valencia (ESP),01 DEC 2024
115,2:20:34,Catherine Reline AMANANG'OLE,Women,Marathon,05 OCT 2002,KEN,1,Abu Dhabi (UAE),14 DEC 2024
116,2:20:36,Meskerem ASSEFA,Women,Marathon,03 OCT 1991,ETH,1,Frankfurt (GER),28 OCT 2018
117,2:20:40,Dolshi TESFU,Women,Marathon,17 JUN 1999,ERI,9,Valencia (ESP),04 DEC 2022
