Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1601,2:31:03,Wenhui FENG,Women,Marathon,21 JAN 1974,CHN,10,Tianjin (CHN),04 APR 1993
1601,2:31:03,Mika HIKICHI,Women,Marathon,07 FEB 1982,JPN,10,Nagoya (JPN),12 MAR 2006
1601,2:31:03,Chenchen WANG,Women,Marathon,,CHN,3,Shanghai (CHN),29 NOV 2009
1604,2:31:04,Teruko OE,Women,Marathon,16 JUN 1969,JPN,1,Nagoya (JPN),01 MAR 1992
1604,2:31:04,Ester BARMASAI,Women,Marathon,1972,KEN,1,Frankfurt (GER),29 OCT 2000
1604,2:31:04,Pauline KAMULU,Women,Marathon,30 DEC 1994,KEN,1,Sapporo (JPN),25 AUG 2024
1604,2:31:04,Lemlem ABEBE,Women,Marathon,26 APR 2005,ETH,1,Beirut (LBN),01 MAY 2025
1608,2:31:05,Evy PALM,Women,Marathon,31 JAN 1942,SWE,6,London (GBR),23 APR 1989
1608,2:31:05,Rosa OLIVEIRA,Women,Marathon,25 JUL 1966,POR,8,Berlin (GER),29 SEP 1996
1608,2:31:05,Nikki CHAPPLE,Women,Marathon,09 FEB 1981,AUS,1,Melbourne (AUS),12 OCT 2014
1608,2:31:05,Beshadu BEKELE,Women,Marathon,09 DEC 1991,ETH,3,Ljubljana (SLO),30 OCT 2016
1612,2:31:06,Anna VILLANI,Women,Marathon,11 JUN 1966,ITA,5,Carpi (ITA),27 OCT 1991
1612,2:31:06,Jean Jebiwott ROTICH,Women,Marathon,12 JUN 1978,KEN,8,Düsseldorf (GER),29 APR 2012
1612,2:31:06,Yugui MA,Women,Marathon,04 MAR 1995,CHN,1,Xuzhou (CHN),24 MAR 2019
1612,2:31:06,Andrea POMARANSKI,Women,Marathon,02 JUL 1982,USA,7,"Houston, TX (USA)",15 JAN 2023
1612,2:31:06,Miriam CHEPKEMOI,Women,Marathon,28 AUG 1993,KEN,6,Wuxi (CHN),19 MAR 2023
1617,2:31:07,Lizanne BUSSIERES,Women,Marathon,20 AUG 1961,CAN,2,Victoria (CAN),22 AUG 1994
1617,2:31:07,Judy KIPLIMO,Women,Marathon,1968,KEN,1,Köln (GER),07 OCT 2001
1617,2:31:07,Jacqueline Nytepi KIPLIMO,Women,Marathon,02 JUL 1984,KEN,5,Hangzhou (CHN),18 NOV 2012
1617,2:31:07,Monika BYTAUTIENĖ,Women,Marathon,17 MAR 1989,LTU,7,Debno (POL),18 APR 2021
1621,2:31:08,Belaynesh Shifera YIGEZU,Women,Marathon,1988,ETH,3,Barcelona (ESP),15 MAR 2015
