Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
400,2:24:22,Christelle DAUNAY,Women,Marathon,05 DEC 1974,FRA,2,Paris (FRA),11 APR 2010
400,2:24:22,Yuki NAKAMURA,Women,Marathon,22 AUG 2000,JPN,1,Gold Coast (AUS),07 JUL 2024
403,2:24:23,Tigist MEMUYE,Women,Marathon,26 OCT 1994,ETH,2,Genève (SUI),02 MAY 2021
404,2:24:24,Liliya SHOBUKHOVA,Women,Marathon,13 NOV 1977,RUS,3,London (GBR),26 APR 2009
404,2:24:24,Lucy KARIMI,Women,Marathon,06 OCT 1986,KEN,3,Genève (SUI),02 MAY 2021
406,2:24:25,Megumi TANAKA-OSHIMA,Women,Marathon,04 SEP 1975,JPN,2,Nagoya (JPN),13 MAR 2005
406,2:24:25,Atsede HABTAMU,Women,Marathon,26 OCT 1987,ETH,4,Berlin (GER),25 SEP 2011
406,2:24:25,Jessica AUGUSTO,Women,Marathon,08 NOV 1981,POR,6,London (GBR),13 APR 2014
406,2:24:25,Rebeca CHESIRE,Women,Marathon,04 DEC 1992,KEN,2,Wien (AUT),23 APR 2017
406,2:24:25,Tigist GEZAHAGN,Women,Marathon,12 MAR 2000,ETH,5,Sevilla (ESP),23 FEB 2025
406,2:24:25,Eilish MCCOLGAN,Women,Marathon,25 NOV 1990,GBR,8,London (GBR),27 APR 2025
412,2:24:27,Yuri KANO,Women,Marathon,27 OCT 1978,JPN,2,Tokyo (JPN),16 NOV 2008
412,2:24:27,Hilde KIBET,Women,Marathon,27 MAR 1981,NED,2,Rotterdam (NED),10 APR 2011
414,2:24:28,Remi NAKASATO,Women,Marathon,24 JUN 1988,JPN,3,Nagoya (JPN),11 MAR 2012
414,2:24:28,Melkam GIZAW,Women,Marathon,17 SEP 1990,ETH,2,Seoul (KOR),20 MAR 2016
416,2:24:29,Elfinesh ALEMU,Women,Marathon,15 MAR 1975,ETH,5,London (GBR),22 APR 2001
416,2:24:29,Kellyn TAYLOR,Women,Marathon,22 JUL 1986,USA,1,"Duluth, MN (USA)",16 JUN 2018
416,2:24:29,Ayantu KUMELA,Women,Marathon,14 MAY 1996,ETH,2,Košice (SVK),02 OCT 2022
416,2:24:29,Gabriella ROOKER,Women,Marathon,09 OCT 1987,USA,12,"Chicago, IL (USA)",13 OCT 2024
420,2:24:30,Aheza KIROS,Women,Marathon,16 OCT 1985,ETH,4,Dubai (UAE),25 JAN 2013
420,2:24:30,Aberu Mekuria ZENNEBE,Women,Marathon,24 DEC 1983,ETH,1,Chongqing (CHN),31 MAR 2019
420,2:24:30,Fabienne SCHLUMPF,Women,Marathon,17 NOV 1990,SUI,14,Valencia (ESP),03 DEC 2023
420,2:24:30,Carolina WIKSTRÖM,Women,Marathon,04 SEP 1993,SWE,8,Sevilla (ESP),18 FEB 2024
424,2:24:32,Yunxia QU,Women,Marathon,25 DEC 1972,CHN,2,Tianjin (CHN),04 APR 1993
424,2:24:32,Laura HOTTENROTT,Women,Marathon,14 MAY 1992,GER,15,Valencia (ESP),03 DEC 2023
426,2:24:33,Rie MATSUOKA,Women,Marathon,09 MAR 1977,JPN,2,Paris (FRA),07 APR 2002
426,2:24:33,Nuţa OLARU,Women,Marathon,28 AUG 1970,ROU,2,"Chicago, IL (USA)",10 OCT 2004
426,2:24:33,Tomo MORIMOTO,Women,Marathon,27 DEC 1983,JPN,1,Wien (AUT),07 MAY 2006
426,2:24:33,Edith CHELIMO,Women,Marathon,16 JUL 1986,KEN,4,Berlin (GER),26 SEP 2021
430,2:24:34,Genet YALEW,Women,Marathon,31 DEC 1992,ETH,3,Praha (CZE),05 MAY 2019
431,2:24:35,Katrin DÖRRE-HEINIG,Women,Marathon,06 OCT 1961,GER,1,Hamburg (GER),25 APR 1999
431,2:24:35,Robe GUTA,Women,Marathon,12 OCT 1986,ETH,1,Hamburg (GER),23 APR 2006
431,2:24:35,Kasanesh BAZE,Women,Marathon,23 OCT 1999,ETH,5,Paris (FRA),13 APR 2025
434,2:24:37,Bone CHELUKE,Women,Marathon,11 DEC 1998,ETH,3,Košice (SVK),02 OCT 2022
434,2:24:37,Tejinesh GEBISA,Women,Marathon,03 MAR 1995,ETH,9,Sevilla (ESP),18 FEB 2024
436,2:24:38,Sardana TROFIMOVA,Women,Marathon,28 MAR 1988,RUS,4,Frankfurt (GER),25 OCT 2015
436,2:24:38,Camilla RICHARDSSON,Women,Marathon,14 SEP 1993,FIN,16,Valencia (ESP),03 DEC 2023
436,2:24:38,Dibabe BEYENE,Women,Marathon,05 OCT 2001,ETH,10,Dubai (UAE),12 JAN 2025
439,2:24:39,Yuanyuan HU,Women,Marathon,,CHN,4,Beijing (CHN),13 OCT 2002
439,2:24:39,Tigist GASHAW,Women,Marathon,25 DEC 1996,BRN,5,Daegu (KOR),07 APR 2024
441,2:24:40,Helena Loshanyang KIROP,Women,Marathon,09 SEP 1976,KEN,1,Roma (ITA),17 MAR 2013
441,2:24:40,Dakotah LINDWURM,Women,Marathon,01 MAY 1995,USA,12,"Chicago, IL (USA)",08 OCT 2023
441,2:24:40,Esther NAVARRETE,Women,Marathon,16 MAR 1990,ESP,10,Sevilla (ESP),18 FEB 2024
444,2:24:41,Yanyan DAI,Women,Marathon,08 JAN 1980,CHN,4,Beijing (CHN),14 OCT 2001
444,2:24:41,Yukari ABE,Women,Marathon,29 NOV 1991,JPN,3,Osaka (JPN),31 JAN 2021
444,2:24:41,Judith KIYENG,Women,Marathon,10 DEC 1993,KEN,8,Frankfurt (GER),27 OCT 2024
447,2:24:42,Linli ZHANG,Women,Marathon,06 MAR 1973,CHN,3,Tianjin (CHN),04 APR 1993
447,2:24:42,Mai ITO,Women,Marathon,23 MAY 1984,JPN,3,Nagoya (JPN),08 MAR 2015
447,2:24:42,Worknesh ALEMU,Women,Marathon,19 MAR 1990,ETH,6,Amsterdam (NED),20 OCT 2019
447,2:24:42,Maeregu HAYELOM,Women,Marathon,20 MAY 1999,ETH,2,Košice (SVK),03 OCT 2021
447,2:24:42,Alemtsehay ASEFA,Women,Marathon,11 SEP 1998,ETH,3,Enschede (NED),24 APR 2022
452,2:24:43,Zenebu FIKADU,Women,Marathon,14 SEP 1999,ETH,5,Barcelona (ESP),19 MAR 2023
453,2:24:45,Ayantu ABDI,Women,Marathon,01 MAR 1992,ETH,3,Istanbul (TUR),07 NOV 2021
453,2:24:45,Munkhzaya BAYARTSOGT,Women,Marathon,10 OCT 1993,MGL,7,Seoul (KOR),17 MAR 2024
453,2:24:45,Amente Sorome NEGASH,Women,Marathon,25 NOV 1997,ETH,2,Dublin (IRL),27 OCT 2024
456,2:24:46,Madina BIKTAGIROVA,Women,Marathon,20 SEP 1964,RUS,2,Berlin (GER),28 SEP 1997
456,2:24:46,Veronica MAINA,Women,Marathon,08 AUG 1989,KEN,1,Wuxi (CHN),24 MAR 2024
456,2:24:46,Susana SANTOS,Women,Marathon,05 JUL 1992,POR,13,Valencia (ESP),01 DEC 2024
459,2:24:47,Letebrhan Haylay GEBRESLASEA,Women,Marathon,29 NOV 1990,ETH,1,Dongying (CHN),05 MAY 2018
459,2:24:47,Salomé ROCHA,Women,Marathon,25 APR 1990,POR,8,London (GBR),28 APR 2019
459,2:24:47,Tsegaye MELESECH,Women,Marathon,1994,ETH,4,Milano (ITA),03 APR 2022
462,2:24:49,Sara MOREIRA,Women,Marathon,17 OCT 1985,POR,2,Praha (CZE),03 MAY 2015
462,2:24:49,Emily CHEBET,Women,Marathon,18 FEB 1986,KEN,4,Rotterdam (NED),14 APR 2024
464,2:24:50,Tseginesh MEKONNIN,Women,Marathon,11 SEP 1992,ETH,1,Málaga (ESP),12 DEC 2021
464,2:24:50,Silvia Patricia ORTIZ MOROCHO,Women,Marathon,30 JUN 1992,ECU,18,Valencia (ESP),03 DEC 2023
466,2:24:51,Rahma TAHIRI,Women,Marathon,09 AUG 1998,MAR,11,Sevilla (ESP),18 FEB 2024
467,2:24:52,Li-rong ZHANG,Women,Marathon,03 MAR 1973,CHN,4,Tianjin (CHN),04 APR 1993
468,2:24:53,Abeba-Tekulu GEBREMESKEL,Women,Marathon,1989,ETH,2,Sevilla (ESP),17 FEB 2019
468,2:24:53,Citlali CRISTIAN MOSCOTE,Women,Marathon,15 APR 1995,MEX,4,Sevilla (ESP),19 FEB 2023
468,2:24:53,Leanne POMPEANI,Women,Marathon,25 JUN 1996,AUS,8,Nagoya (JPN),09 MAR 2025
471,2:24:54,Grete WAITZ,Women,Marathon,01 OCT 1953,NOR,1,London (GBR),20 APR 1986
471,2:24:54,Ryoko KITAJIMA-EDA,Women,Marathon,12 JUN 1976,JPN,3,Nagoya (JPN),13 MAR 2005
471,2:24:54,Deborah SCHÖNEBORN,Women,Marathon,13 MAR 1994,GER,4,"Houston, TX (USA)",14 JAN 2024
474,2:24:55,Eyerusalem KUMA,Women,Marathon,07 SEP 1981,ETH,2,Amsterdam (NED),16 OCT 2011
474,2:24:55,Zinash MEKONEN,Women,Marathon,11 SEP 1996,ETH,10,Valencia (ESP),01 DEC 2019
476,2:24:56,Katharina STEINRUCK,Women,Marathon,22 AUG 1989,GER,6,Osaka (JPN),28 JAN 2024
476,2:24:56,Chloé HERBIET,Women,Marathon,03 DEC 1998,BEL,12,Sevilla (ESP),18 FEB 2024
478,2:24:57,Azusa NOJIRI,Women,Marathon,06 JUN 1982,JPN,2,Osaka (JPN),29 JAN 2012
478,2:24:57,Meritxell SOLER,Women,Marathon,20 JUL 1992,ESP,13,Sevilla (ESP),18 FEB 2024
478,2:24:57,Sadiya AWEL,Women,Marathon,,ETH,2,Hangzhou (CHN),03 NOV 2024
478,2:24:57,Soukaina ATANANE,Women,Marathon,28 JUN 1994,MAR,14,Valencia (ESP),01 DEC 2024
482,2:24:58,Gladys KIMAINA,Women,Marathon,01 MAR 1993,KEN,1,Linz (AUT),13 APR 2025
483,2:24:59,Banuelia KATESIGWA,Women,Marathon,14 NOV 1977,TAN,1,Tokyo (JPN),17 NOV 2002
483,2:24:59,Aberash FAYESA,Women,Marathon,1995,ETH,2,Riyadh (KSA),11 FEB 2023
485,2:25:01,Mélody JULIEN,Women,Marathon,13 MAY 1999,FRA,19,Valencia (ESP),03 DEC 2023
486,2:25:02,Yeneabeba EIGU,Women,Marathon,12 SEP 1999,ETH,2,Málaga (ESP),12 DEC 2021
487,2:25:03,Alice Jemeli TIMBILILI,Women,Marathon,01 FEB 1983,KEN,1,Amsterdam (NED),17 OCT 2010
488,2:25:04,Marisa BARROS,Women,Marathon,25 FEB 1980,POR,3,Yokohama (JPN),20 FEB 2011
488,2:25:04,Clara EVANS,Women,Marathon,27 NOV 1993,GBR,20,Valencia (ESP),03 DEC 2023
490,2:25:08,Souad AIT SALEM,Women,Marathon,06 JAN 1979,ALG,1,Roma (ITA),18 MAR 2007
490,2:25:08,Cian OLDKNOW,Women,Marathon,17 SEP 1996,RSA,14,Sevilla (ESP),18 FEB 2024
492,2:25:09,Shitaye BEDASO,Women,Marathon,1988,ETH,2,Eindhoven (NED),09 OCT 2011
492,2:25:09,Sayaka KUWAHARA,Women,Marathon,08 MAR 1993,JPN,6,Nagoya (JPN),13 MAR 2016
492,2:25:09,Medina Deme ARMINO,Women,Marathon,22 OCT 1997,ETH,1,Enschede (NED),13 APR 2025
495,2:25:10,Lidiya GRIGORYEVA,Women,Marathon,21 JAN 1974,RUS,1,"Los Angeles, CA (USA)",18 MAR 2006
495,2:25:10,Kiyoko SHIMAHARA,Women,Marathon,22 DEC 1976,JPN,1,Sapporo (JPN),30 AUG 2009
495,2:25:10,Sally KIPYEGO,Women,Marathon,19 DEC 1985,USA,7,Berlin (GER),29 SEP 2019
495,2:25:10,Eloise WELLINGS,Women,Marathon,09 NOV 1982,AUS,6,Nagoya (JPN),13 MAR 2022
495,2:25:10,Lydia Naliaka SIMIYU,Women,Marathon,24 APR 1996,KEN,2,Roma (ITA),17 MAR 2024
495,2:25:10,Cynthia JEROTICH,Women,Marathon,18 DEC 1989,KEN,6,Hamburg (GER),28 APR 2024
