Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1500,2:30:32,Sufang PAN,Women,Marathon,08 NOV 2001,CHN,6,Hengshui (CHN),22 SEP 2024
1502,2:30:33,Joan KIGEN,Women,Marathon,12 APR 1977,KEN,4,Rotterdam (NED),08 APR 2018
1502,2:30:33,Amelework FEKADU,Women,Marathon,21 NOV 1986,ETH,8,Marrakech (MAR),26 JAN 2020
1502,2:30:33,Salome BRUN,Women,Marathon,04 JAN 1997,FRA,25,Valencia (ESP),01 DEC 2024
1505,2:30:34,Maria Conceicao FERREIRA,Women,Marathon,13 MAR 1962,POR,1,"Pittsburgh, PA (USA)",06 MAY 1990
1505,2:30:34,Yuko MANABE,Women,Marathon,08 FEB 1979,JPN,7,Nagoya (JPN),11 MAR 2007
1505,2:30:34,Yun-hee CHUNG,Women,Marathon,03 JAN 1983,KOR,8,Seoul (KOR),18 MAR 2012
1505,2:30:34,Birtukan WORKINEH,Women,Marathon,12 FEB 1999,ETH,2,Poznan (POL),22 OCT 2023
1509,2:30:35,Alice Cherotich SERSER,Women,Marathon,1983,KEN,5,Chengdu (CHN),27 OCT 2019
1509,2:30:35,Birtukan Fente ALEMU,Women,Marathon,18 JUN 1989,ETH,5,Shanghai (CHN),17 NOV 2019
1509,2:30:35,Chaltu BEDO,Women,Marathon,09 JAN 1994,ETH,2,Durban (RSA),12 MAR 2023
1509,2:30:35,Chunxia LI,Women,Marathon,24 FEB 2000,CHN,16,Wuxi (CHN),24 MAR 2024
1509,2:30:35,Aleksandra MOROZOVA,Women,Marathon,27 FEB 1990,RUS,1,"Luzhniki Stadion, Moskva (RUS)",13 OCT 2024
1514,2:30:36,Nadezhda USMANOVA,Women,Marathon,06 DEC 1956,URS,2,Vilnius (LTU),07 OCT 1984
1514,2:30:36,Yemei LI,Women,Marathon,25 MAY 1966,CHN,1,Beijing (CHN),17 OCT 1993
1514,2:30:36,Carey ADAMS,Women,Marathon,1976,USA,1,"Seattle, WA (USA)",26 NOV 2000
