Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1801,2:31:55,Marily DOS SANTOS,Women,Marathon,05 FEB 1978,BRA,1,Padova (ITA),22 APR 2012
1801,2:31:55,Irene CHEPKIRUI,Women,Marathon,1982,KEN,1,Poznan (POL),12 OCT 2014
1801,2:31:55,Jila DAWA,Women,Marathon,02 JAN 1998,CHN,4,Xuzhou (CHN),24 MAR 2019
1801,2:31:55,Katie MOEN,Women,Marathon,20 APR 1992,USA,14,"New York, NY (USA)",03 NOV 2019
1801,2:31:55,Jung yoon CHOI,Women,Marathon,13 JUN 1993,KOR,1,Seoul (KOR),03 NOV 2024
1806,2:31:56,Tatyana GRIDNYEVA,Women,Marathon,23 MAY 1958,URS,4,Seoul (KOR),11 APR 1987
1806,2:31:56,Maria Teresa PULIDO,Women,Marathon,01 OCT 1974,ESP,3,Rotterdam (NED),13 APR 2003
1806,2:31:56,Yamna OUBOUHOU,Women,Marathon,20 FEB 1974,FRA,11,Paris (FRA),06 APR 2008
1806,2:31:56,Alissa MCKAIG,Women,Marathon,21 FEB 1986,USA,8,"Houston, TX (USA)",14 JAN 2012
1806,2:31:56,Veerle DEJAEGHERE,Women,Marathon,01 AUG 1973,BEL,16,Berlin (GER),27 SEP 2015
1806,2:31:56,Rosie EDWARDS,Women,Marathon,20 AUG 1988,GBR,3,London (GBR),26 MAR 2021
1812,2:31:57,Wu MEI,Women,Marathon,09 NOV 1973,CHN,9,Beijing (CHN),04 OCT 1997
1812,2:31:57,Nadezhda LEONTYEVA,Women,Marathon,26 JUN 1984,RUS,3,Moskva (RUS),14 MAY 2011
1812,2:31:57,Elisa STEFANI,Women,Marathon,04 MAY 1986,ITA,4,Firenze (ITA),24 NOV 2019
1815,2:31:58,Emi YAMAOKA,Women,Marathon,15 NOV 1974,JPN,11,Nagoya (JPN),10 MAR 1996
1815,2:31:58,Sarah REITER,Women,Marathon,07 NOV 1993,USA,8,"Duluth, MN (USA)",17 JUN 2023
1815,2:31:58,Caroline JEPKEMEI,Women,Marathon,1992,KEN,2,Padova (ITA),21 APR 2024
1818,2:32:00,Guoxiang ZHOU,Women,Marathon,,CHN,2,Tianjin (CHN),10 APR 1999
1818,2:32:00,Yuko SHIMIZU,Women,Marathon,13 JUL 1985,JPN,9,London (GBR),13 APR 2014
1818,2:32:00,Bentu Shiferaw WODAJO,Women,Marathon,01 OCT 1995,ETH,4,Zhengzhou (CHN),26 MAR 2017
1818,2:32:00,Doroteia PEIXOTO,Women,Marathon,07 OCT 1983,POR,1,Düsseldorf (GER),30 APR 2017
1818,2:32:00,Rutendo Joan NYAHORA,Women,Marathon,11 NOV 1988,ZIM,15,Frankfurt (GER),29 OCT 2023
1823,2:32:01,Fatima SILVA,Women,Marathon,06 MAY 1970,POR,3,Hamburg (GER),21 APR 2002
1823,2:32:01,Valdilene DOS SANTOS SILVA,Women,Marathon,18 DEC 1991,BRA,15,Frankfurt (GER),28 OCT 2018
1823,2:32:01,Meka WAKE,Women,Marathon,10 JUN 1996,ETH,4,Wuxi (CHN),24 MAR 2019
1823,2:32:01,Meixia ZHANG,Women,Marathon,20 JAN 1991,CHN,3,Guangzhou (CHN),08 DEC 2019
1823,2:32:01,Rebecca GENTRY,Women,Marathon,27 MAR 1986,GBR,4,London (GBR),26 MAR 2021
1828,2:32:02,Aiko MAGOME,Women,Marathon,13 NOV 1972,JPN,4,Nagoya (JPN),13 MAR 1994
1828,2:32:02,Edith IRUNGU,Women,Marathon,,KEN,1,Nairobi (KEN),26 OCT 2014
1828,2:32:02,Lina Jepkemoi KAINO,Women,Marathon,11 FEB 1989,KEN,6,Nairobi (KEN),29 OCT 2023
1831,2:32:03,Elena MURGOCI,Women,Marathon,20 MAY 1960,ROU,1,Rotterdam (NED),16 APR 1989
1831,2:32:03,Tatyana VILISOVA,Women,Marathon,27 NOV 1979,RUS,1,Mainz (GER),06 MAY 2012
1833,2:32:04,Giovanna VOLPATO,Women,Marathon,20 AUG 1975,ITA,8,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006
1833,2:32:04,Nebiat HABTEMARIAM,Women,Marathon,29 DEC 1978,ERI,7,Hamburg (GER),27 APR 2008
1833,2:32:04,Mehtap DOĞAN-SIZMAZ,Women,Marathon,16 NOV 1978,TUR,1,Madrid (ESP),26 APR 2009
1836,2:32:05,Yelena GUNDELAKH,Women,Marathon,19 APR 1974,RUS,1,Moskva (RUS),16 MAY 1999
1836,2:32:05,Sarah PAGANO,Women,Marathon,23 JUL 1991,USA,17,Nagoya (JPN),12 MAR 2023
1838,2:32:06,Ro OK UN,Women,Marathon,14 NOV 1989,PRK,1,Pyongyang (PRK),10 APR 2011
1838,2:32:06,Anke ESSER,Women,Marathon,21 MAY 1990,GER,13,"Chicago, IL (USA)",13 OCT 2019
1838,2:32:06,Alena TATARINOVA,Women,Marathon,12 NOV 1990,RUS,2,Kazan (RUS),12 MAY 2024
1841,2:32:07,Maria Guadalupe LOMA,Women,Marathon,12 DEC 1967,MEX,4,Paris (FRA),06 APR 1997
1841,2:32:07,Xin ZHANG,Women,Marathon,08 JUN 1989,CHN,1,Shanghai (CHN),26 NOV 2006
1843,2:32:08,Kristina GARLIPP,Women,Marathon,29 SEP 1961,GDR,2,Budapest (HUN),26 OCT 1986
1843,2:32:08,Kum-sil RI,Women,Marathon,02 NOV 1976,PRK,24,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
1843,2:32:08,Yoshie KITOMI,Women,Marathon,25 DEC 1984,JPN,10,Nagoya (JPN),08 MAR 2009
