Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
895,2:27:32,Askale ALEMAHEYU,Women,Marathon,11 JAN 1996,ETH,2,Hengshui (CHN),29 SEP 2019
902,2:27:33,Helena JAVORNIK,Women,Marathon,26 MAR 1966,SLO,1,Amsterdam (NED),17 OCT 2004
902,2:27:33,Shamilah Tekaa KIPSIROR,Women,Marathon,09 OCT 1986,KEN,4,Roma (ITA),17 MAR 2024
902,2:27:33,Failuna MATANGA,Women,Marathon,28 OCT 1992,TAN,5,Hannover (GER),14 APR 2024
905,2:27:34,Medhin GEBRESLASSIE,Women,Marathon,05 APR 1999,ETH,3,Mumbai (IND),21 JAN 2024
905,2:27:34,Melina WOLF,Women,Marathon,21 DEC 1992,GER,18,Berlin (GER),29 SEP 2024
907,2:27:35,Francie LARRIEU-SMITH,Women,Marathon,23 NOV 1952,USA,2,London (GBR),21 APR 1991
907,2:27:35,Yinli HE,Women,Marathon,20 SEP 1988,CHN,2,Chongqing (CHN),22 MAR 2015
907,2:27:35,Hisami ISHII,Women,Marathon,10 AUG 1995,JPN,5,Nagoya (JPN),12 MAR 2017
907,2:27:35,Yetsehay DESALEGN,Women,Marathon,28 OCT 1991,ETH,2,Hangzhou (CHN),04 NOV 2018
911,2:27:36,Frith VAN DER MERWE,Women,Marathon,26 MAY 1964,RSA,1,Port Elizabeth (RSA),24 FEB 1990
911,2:27:36,Mulugojam AMBI,Women,Marathon,,ETH,13,Dubai (UAE),12 JAN 2025
913,2:27:37,Olga KOVPOTINA,Women,Marathon,10 JAN 1968,RUS,2,St. Paul (USA),07 OCT 2001
913,2:27:37,Cui LU,Women,Marathon,29 MAR 1987,CHN,9,Beijing (CHN),13 OCT 2002
913,2:27:37,Olesya NURGALIEVA,Women,Marathon,09 JAN 1976,RUS,2,Frankfurt (GER),26 OCT 2008
913,2:27:37,Yuliya GROMOVA,Women,Marathon,21 MAY 1974,RUS,1,"San Diego, CA (USA)",31 MAY 2009
913,2:27:37,Naomi TUEI,Women,Marathon,20 MAY 1993,KEN,4,Valencia (ESP),19 NOV 2017
918,2:27:38,Alla ZHILYAYEVA,Women,Marathon,05 FEB 1969,RUS,1,Reims (FRA),22 OCT 1995
918,2:27:38,Ruth WANJIRU,Women,Marathon,11 SEP 1981,KEN,7,Osaka (JPN),25 JAN 2009
918,2:27:38,Andrea Paola BONILLA,Women,Marathon,05 DEC 1986,ECU,16,Valencia (ESP),05 DEC 2021
921,2:27:39,Webalem BAZANEW,Women,Marathon,15 SEP 1989,ETH,1,Castellón (ESP),16 FEB 2020
921,2:27:39,Lillian JELAGAT,Women,Marathon,23 JAN 1989,KEN,1,Münster (GER),11 SEP 2022
921,2:27:39,Zerihun ALEMTSEHAY,Women,Marathon,,ETH,10,Paris (FRA),13 APR 2025
924,2:27:40,Chaofeng JIA,Women,Marathon,16 NOV 1988,CHN,1,Beijing (CHN),25 NOV 2012
924,2:27:40,Leah KIPRONO,Women,Marathon,15 APR 1980,KEN,1,Zhengzhou (CHN),27 MAR 2016
924,2:27:40,Nurit SHIMELS,Women,Marathon,14 NOV 1995,ETH,2,Cape Town (RSA),15 SEP 2019
927,2:27:41,Sachiyo SEIYAMA,Women,Marathon,06 NOV 1972,JPN,2,Nagoya (JPN),10 MAR 1996
927,2:27:41,Asmae LEGHZAOUI,Women,Marathon,30 AUG 1976,MAR,1,Ottawa (CAN),24 MAY 2009
927,2:27:41,Beatrice TOROITICH,Women,Marathon,15 DEC 1981,KEN,3,Hamburg (GER),29 APR 2012
927,2:27:41,Priscah Jepleting CHERONO,Women,Marathon,27 JUN 1980,KEN,1,Venezia (ITA),23 OCT 2016
927,2:27:41,Izabela PASZKIEWICZ,Women,Marathon,09 JAN 1988,POL,7,Berlin (GER),26 SEP 2021
927,2:27:41,Nigist MULUNEH,Women,Marathon,15 MAY 1997,ETH,4,Riyadh (KSA),11 FEB 2023
933,2:27:42,Belainesh YAMI GURMU,Women,Marathon,09 DEC 1988,ETH,1,Shenzhen (CHN),15 DEC 2019
934,2:27:44,Franziska ROCHAT-MOSER,Women,Marathon,17 AUG 1966,SUI,1,Frankfurt (GER),23 OCT 1994
934,2:27:44,Ikumi NAGAYAMA,Women,Marathon,22 JUN 1974,JPN,8,Nagoya (JPN),11 MAR 2001
934,2:27:44,Claire HALLISSEY,Women,Marathon,17 MAR 1983,GBR,11,London (GBR),22 APR 2012
934,2:27:44,Maryna DAMANTSEVICH,Women,Marathon,10 FEB 1984,BLR,4,"Olympiastadion, Berlin (GER)",12 AUG 2018
938,2:27:46,Irina BOGACHOVA,Women,Marathon,30 MAY 1961,KGZ,5,"Chicago, IL (USA)",24 OCT 1999
938,2:27:46,Dorota GRUCA,Women,Marathon,05 DEC 1970,POL,13,"Olympiastadion, Helsinki (FIN)",14 AUG 2005
938,2:27:46,Anne Jepkemboi KOSGEI,Women,Marathon,1980,KEN,1,Venezia (ITA),25 OCT 2009
941,2:27:47,Iwona LEWANDOWSKA,Women,Marathon,19 FEB 1985,POL,11,London (GBR),26 APR 2015
941,2:27:47,Stephanie BRUCE,Women,Marathon,14 JAN 1984,USA,6,"Chicago, IL (USA)",13 OCT 2019
941,2:27:47,Ebsite TILAHUN,Women,Marathon,13 OCT 2001,ETH,6,Košice (SVK),02 OCT 2022
944,2:27:48,Sun-young LEE,Women,Marathon,20 AUG 1984,KOR,2,Seoul (KOR),14 MAR 2009
944,2:27:48,Motu MEGERSA,Women,Marathon,22 OCT 1994,ETH,1,Dublin (IRL),27 OCT 2019
946,2:27:49,Laura FOGLI,Women,Marathon,05 OCT 1959,ITA,6,"Olympic Stadium, Seoul (KOR)",23 SEP 1988
